"Step","Group: protoss_10_vs_11_QMIX - win_rate","Group: protoss_10_vs_11_QMIX - win_rate__MIN","Group: protoss_10_vs_11_QMIX - win_rate__MAX"
"1090044","0","0","0"
"1100000","0","0","0"
"1100012","0","0","0"
"1100039","0","0","0"
"1100066","0","0","0"
"1100069","0","0","0"
"1110002","0","0","0"
"1110011","0","0","0"
"1110012","0","0","0"
"1110033","0","0","0"
"1110053","0","0","0"
"1110067","0","0","0"
"1120021","0","0","0"
"1120035","0","0","0"
"1120036","0","0","0"
"1120037","0","0","0"
"1120038","0.03125","0.03125","0.03125"
"1120041","0.03125","0.03125","0.03125"
"1130000","0","0","0"
"1130001","0","0","0"
"1130008","0","0","0"
"1130009","0","0","0"
"1130018","0","0","0"
"1130051","0.03125","0.03125","0.03125"
"1140015","0","0","0"
"1140020","0","0","0"
"1140028","0","0","0"
"1140033","0","0","0"
"1140040","0","0","0"
"1140052","0","0","0"
"1150004","0.03125","0.03125","0.03125"
"1150011","0","0","0"
"1150013","0","0","0"
"1150030","0","0","0"
"1150048","0","0","0"
"1150061","0","0","0"
"1160006","0","0","0"
"1160009","0","0","0"
"1160022","0","0","0"
"1160029","0","0","0"
"1160038","0","0","0"
"1160039","0","0","0"
"1170008","0.03125","0.03125","0.03125"
"1170019","0","0","0"
"1170027","0","0","0"
"1170046","0","0","0"
"1170047","0","0","0"
"1170052","0","0","0"
"1180004","0","0","0"
"1180017","0","0","0"
"1180030","0.03125","0.03125","0.03125"
"1180031","0","0","0"
"1180034","0","0","0"
"1180109","0","0","0"
"1190004","0.0625","0.0625","0.0625"
"1190006","0","0","0"
"1190009","0","0","0"
"1190015","0","0","0"
"1190022","0","0","0"
"1190030","0","0","0"
"1200006","0","0","0"
"1200012","0","0","0"
"1200014","0","0","0"
"1200019","0.03125","0.03125","0.03125"
"1200031","0","0","0"
"1200036","0","0","0"
"1210006","0","0","0"
"1210016","0","0","0"
"1210023","0","0","0"
"1210038","0","0","0"
"1210047","0.0625","0.0625","0.0625"
"1210050","0","0","0"
"1220028","0","0","0"
"1220029","0","0","0"
"1220034","0.03125","0.03125","0.03125"
"1220037","0","0","0"
"1220040","0","0","0"
"1220053","0","0","0"
"1230000","0","0","0"
"1230015","0.03125","0.03125","0.03125"
"1230024","0","0","0"
"1230029","0","0","0"
"1230030","0","0","0"
"1230032","0","0","0"
"1240020","0","0","0"
"1240040","0.03125","0.03125","0.03125"
"1240043","0","0","0"
"1240047","0.03125","0.03125","0.03125"
"1240048","0","0","0"
"1240049","0.03125","0.03125","0.03125"
"1250016","0","0","0"
"1250019","0.03125","0.03125","0.03125"
"1250024","0","0","0"
"1250034","0","0","0"
"1250040","0","0","0"
"1250049","0","0","0"
"1260009","0.03125","0.03125","0.03125"
"1260016","0.03125","0.03125","0.03125"
"1260017","0","0","0"
"1260034","0","0","0"
"1260053","0","0","0"
"1270002","0","0","0"
"1270014","0","0","0"
"1270025","0.09375","0.09375","0.09375"
"1270030","0","0","0"
"1270037","0","0","0"
"1270069","0","0","0"
"1280000","0","0","0"
