"Step","Group: protoss_10_vs_11_ACORM - win_rate","Group: protoss_10_vs_11_ACORM - win_rate__MIN","Group: protoss_10_vs_11_ACORM - win_rate__MAX"
"1110243","0","0","0"
"1110269","0","0","0"
"1110289","0.0625","0.0625","0.0625"
"1120256","0","0","0"
"1120260","0.125","0.125","0.125"
"1120261","0.03125","0","0.0625"
"1120272","0","0","0"
"1120274","0.0625","0.0625","0.0625"
"1130232","0","0","0"
"1130242","0","0","0"
"1130245","0.03125","0.03125","0.03125"
"1130262","0","0","0"
"1130263","0","0","0"
"1130280","0.03125","0.03125","0.03125"
"1140227","0","0","0"
"1140235","0.0625","0.0625","0.0625"
"1140236","0.125","0.125","0.125"
"1140238","0","0","0"
"1140255","0.0625","0.0625","0.0625"
"1140283","0","0","0"
"1150229","0","0","0"
"1150237","0.09375","0.09375","0.09375"
"1150251","0.0625","0.0625","0.0625"
"1150267","0.1875","0.1875","0.1875"
"1150271","0","0","0"
"1150278","0.0625","0.0625","0.0625"
"1160221","0.0625","0.0625","0.0625"
"1160222","0.125","0.125","0.125"
"1160225","0","0","0"
"1160237","0","0","0"
"1160251","0.0625","0.0625","0.0625"
"1160263","0.0625","0.0625","0.0625"
"1170244","0.0625","0.0625","0.0625"
"1170247","0.03125","0.03125","0.03125"
"1170264","0.09375","0.09375","0.09375"
"1170268","0","0","0"
"1170279","0.0625","0.0625","0.0625"
"1170284","0.09375","0.09375","0.09375"
"1180221","0","0","0"
"1180232","0.0625","0.0625","0.0625"
"1180244","0.125","0.125","0.125"
"1180266","0","0","0"
"1180267","0","0","0"
"1180282","0.09375","0.09375","0.09375"
"1190237","0.125","0.125","0.125"
"1190238","0.03125","0.03125","0.03125"
"1190258","0","0","0"
"1190260","0","0","0"
"1190267","0","0","0"
"1200225","0.03125","0.03125","0.03125"
"1200236","0.0625","0.0625","0.0625"
"1200244","0.125","0.125","0.125"
"1200248","0.03125","0.03125","0.03125"
"1200253","0.03125","0.03125","0.03125"
