"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"1050240","0.1875","0.1875","0.1875"
"1050243","0.03125","0.03125","0.03125"
"1050265","0.75","0.75","0.75"
"1050320","0.09375","0.09375","0.09375"
"1060235","0","0","0"
"1060250","0.09375","0.09375","0.09375"
"1060278","0.75","0.75","0.75"
"1060287","0.71875","0.71875","0.71875"
"1060308","0.3125","0.3125","0.3125"
"1070246","0.59375","0.59375","0.59375"
"1070255","0.1875","0.1875","0.1875"
"1070260","0.03125","0.03125","0.03125"
"1070291","0.09375","0.09375","0.09375"
"1070355","0.65625","0.65625","0.65625"
"1080239","0.25","0.25","0.25"
"1080275","0","0","0"
"1080321","0","0","0"
"1080341","0.625","0.625","0.625"
"1080353","0.0625","0.0625","0.0625"
"1090227","0.71875","0.71875","0.71875"
"1090239","0.21875","0.21875","0.21875"
"1090282","0.15625","0.15625","0.15625"
"1090292","0","0","0"
"1090357","0.65625","0.65625","0.65625"
"1100233","0.90625","0.90625","0.90625"
"1100240","0.65625","0.65625","0.65625"
"1100272","0","0","0"
"1100336","0.125","0.125","0.125"
"1100340","0.15625","0.15625","0.15625"
"1110221","0.75","0.75","0.75"
"1110223","0.0625","0.0625","0.0625"
"1110274","0.59375","0.59375","0.59375"
"1110358","0.0625","0.0625","0.0625"
"1110366","0","0","0"
"1120254","0.71875","0.71875","0.71875"
"1120257","0.03125","0.03125","0.03125"
"1120293","0.21875","0.21875","0.21875"
"1120325","0.46875","0.46875","0.46875"
"1120357","0.28125","0.28125","0.28125"
"1130235","0","0","0"
"1130247","0.65625","0.65625","0.65625"
"1130290","0.09375","0.09375","0.09375"
"1130295","0.5","0.5","0.5"
"1130298","0.3125","0.3125","0.3125"
"1140238","0","0","0"
"1140267","0.71875","0.71875","0.71875"
"1140268","0.375","0.375","0.375"
"1140284","0.78125","0.78125","0.78125"
"1140324","0.1875","0.1875","0.1875"
"1150222","0","0","0"
"1150257","0.03125","0.03125","0.03125"
"1150273","0.46875","0.46875","0.46875"
"1150372","0.6875","0.6875","0.6875"
"1150383","0.21875","0.21875","0.21875"
"1160252","0.6875","0.6875","0.6875"
"1160253","0.4375","0.4375","0.4375"
"1160259","0.0625","0.0625","0.0625"
"1160261","0.65625","0.65625","0.65625"
"1160312","0","0","0"
"1170221","0","0","0"
"1170255","0.6875","0.6875","0.6875"
"1170279","0.1875","0.1875","0.1875"
"1170308","0.40625","0.40625","0.40625"
"1170311","0.6875","0.6875","0.6875"
"1180224","0","0","0"
"1180230","0.3125","0.3125","0.3125"
"1180269","0.84375","0.84375","0.84375"
"1180312","0.40625","0.40625","0.40625"
"1180323","0.03125","0.03125","0.03125"
"1190231","0.3125","0.3125","0.3125"
"1190251","0","0","0"
"1190287","0.78125","0.78125","0.78125"
"1190339","0.34375","0.34375","0.34375"
"1190375","0.21875","0.21875","0.21875"
"1200231","0.53125","0.53125","0.53125"
"1200232","0.59375","0.59375","0.59375"
"1200239","0.40625","0.40625","0.40625"
"1200286","0.375","0.375","0.375"
"1200348","0","0","0"
"1210252","0.5625","0.5625","0.5625"
"1210257","0.03125","0.03125","0.03125"
"1210259","0.34375","0.34375","0.34375"
"1210316","0.21875","0.21875","0.21875"
"1210373","0.40625","0.40625","0.40625"
"1220234","0","0","0"
"1220236","0.34375","0.34375","0.34375"
"1220280","0.71875","0.71875","0.71875"
"1220307","0.4375","0.4375","0.4375"
"1220310","0.71875","0.71875","0.71875"
"1230242","0.625","0.625","0.625"
