"Step","Group: terran_10_vs_11_ACORM - win_rate","Group: terran_10_vs_11_ACORM - win_rate__MIN","Group: terran_10_vs_11_ACORM - win_rate__MAX"
"960657","0.1875","0.1875","0.1875"
"970606","0.15625","0.15625","0.15625"
"970610","0.03125","0.03125","0.03125"
"970622","0.0625","0.0625","0.0625"
"970624","0.0625","0.0625","0.0625"
"970626","0","0","0"
"970665","0.1875","0.1875","0.1875"
"980604","0.125","0.125","0.125"
"980610","0.0625","0.0625","0.0625"
"980611","0","0","0"
"980641","0.125","0.125","0.125"
"980665","0.15625","0.15625","0.15625"
"980679","0.0625","0.0625","0.0625"
"990608","0.15625","0.15625","0.15625"
"990610","0.125","0.125","0.125"
"990617","0","0","0"
"990628","0.125","0.125","0.125"
"990632","0.09375","0.09375","0.09375"
"990641","0.0625","0.0625","0.0625"
"1000609","0.15625","0.15625","0.15625"
"1000613","0.09375","0.09375","0.09375"
"1000638","0.109375","0.0625","0.15625"
"1000670","0.34375","0.34375","0.34375"
"1000677","0.125","0.125","0.125"
"1010601","0.1875","0.1875","0.1875"
"1010607","0.09375","0.09375","0.09375"
"1010613","0.125","0.125","0.125"
"1010615","0.15625","0.15625","0.15625"
"1010628","0.09375","0.09375","0.09375"
"1010642","0.03125","0.03125","0.03125"
"1020603","0.25","0.25","0.25"
"1020607","0.03125","0.03125","0.03125"
"1020608","0.15625","0.15625","0.15625"
"1020621","0.1875","0.1875","0.1875"
"1020623","0.09375","0.09375","0.09375"
"1020680","0.0625","0.0625","0.0625"
"1030603","0.125","0.125","0.125"
"1030610","0.21875","0.21875","0.21875"
"1030620","0.0625","0.0625","0.0625"
"1030622","0.1875","0.1875","0.1875"
"1030659","0.15625","0.15625","0.15625"
"1030708","0.09375","0.09375","0.09375"
"1040613","0.15625","0.15625","0.15625"
"1040628","0.0625","0.0625","0.0625"
"1040633","0.03125","0.03125","0.03125"
"1040639","0.1875","0.1875","0.1875"
"1040640","0.3125","0.3125","0.3125"
"1040646","0.125","0.125","0.125"
"1050605","0.0625","0.0625","0.0625"
"1050616","0.125","0.125","0.125"
"1050619","0.1875","0.1875","0.1875"
"1050623","0.15625","0.15625","0.15625"
"1050636","0.21875","0.21875","0.21875"
"1050797","0.03125","0.03125","0.03125"
"1060605","0.0625","0.0625","0.0625"
"1060607","0.1875","0.1875","0.1875"
"1060618","0.1875","0.1875","0.1875"
"1060635","0.125","0.125","0.125"
"1060643","0.0625","0.0625","0.0625"
"1060666","0","0","0"
"1070605","0.0625","0.0625","0.0625"
"1070624","0.1875","0.1875","0.1875"
"1070631","0.03125","0.03125","0.03125"
"1070632","0.3125","0.3125","0.3125"
"1070648","0.03125","0.03125","0.03125"
"1070649","0.03125","0.03125","0.03125"
"1080603","0.09375","0.09375","0.09375"
"1080604","0.125","0.125","0.125"
"1080609","0.40625","0.40625","0.40625"
"1080619","0.03125","0.03125","0.03125"
"1080627","0.0625","0.0625","0.0625"
"1080636","0.15625","0.15625","0.15625"
"1090601","0.125","0.125","0.125"
"1090610","0.109375","0.09375","0.125"
"1090622","0.21875","0.21875","0.21875"
"1090661","0.125","0.125","0.125"
"1090687","0.28125","0.28125","0.28125"
"1100609","0.21875","0.21875","0.21875"
"1100612","0.15625","0.15625","0.15625"
"1100614","0.03125","0.03125","0.03125"
"1100641","0.15625","0.15625","0.15625"
"1100644","0.0625","0.0625","0.0625"
"1100744","0.15625","0.15625","0.15625"
"1110610","0.25","0.25","0.25"
"1110624","0.09375","0.09375","0.09375"
"1110641","0.03125","0.03125","0.03125"
"1110644","0.09375","0.09375","0.09375"
"1110648","0.09375","0.09375","0.09375"
"1110690","0.0625","0.0625","0.0625"
"1120605","0.15625","0.15625","0.15625"
"1120612","0.09375","0.09375","0.09375"
"1120613","0.09375","0.03125","0.15625"
"1120616","0.03125","0.03125","0.03125"
"1120632","0.28125","0.28125","0.28125"
"1130604","0.09375","0.09375","0.09375"
"1130623","0.09375","0.09375","0.09375"
"1130627","0.09375","0.09375","0.09375"
"1130628","0.0625","0.0625","0.0625"
"1130649","0.21875","0.21875","0.21875"
"1130659","0.0625","0.0625","0.0625"
"1140605","0.03125","0.03125","0.03125"
"1140609","0.3125","0.3125","0.3125"
"1140612","0.125","0.125","0.125"
"1140613","0.09375","0.09375","0.09375"
"1140651","0.125","0.125","0.125"
"1140683","0.125","0.125","0.125"
"1150601","0.125","0.125","0.125"
"1150607","0.1875","0.1875","0.1875"
"1150624","0.09375","0.09375","0.09375"
"1150626","0.09375","0.09375","0.09375"
"1150653","0.15625","0.15625","0.15625"
"1150672","0.125","0.125","0.125"
"1160613","0.15625","0.15625","0.15625"
"1160628","0.125","0.125","0.125"
"1160630","0.09375","0.09375","0.09375"
"1160639","0.125","0.125","0.125"
"1160659","0.125","0.125","0.125"
"1160681","0.15625","0.15625","0.15625"
"1170602","0.21875","0.21875","0.21875"
