"Step","Group: terran_10_vs_11_QMIX - win_rate","Group: terran_10_vs_11_QMIX - win_rate__MIN","Group: terran_10_vs_11_QMIX - win_rate__MAX"
"1020011","0","0","0"
"1020015","0","0","0"
"1020041","0","0","0"
"1020047","0","0","0"
"1030007","0","0","0"
"1030016","0.03125","0.03125","0.03125"
"1030022","0.09375","0.09375","0.09375"
"1030030","0.046875","0.03125","0.0625"
"1030032","0.03125","0.03125","0.03125"
"1040006","0","0","0"
"1040013","0.0625","0.0625","0.0625"
"1040014","0.0625","0.0625","0.0625"
"1040034","0","0","0"
"1040041","0","0","0"
"1040049","0","0","0"
"1050002","0","0","0"
"1050016","0.125","0.125","0.125"
"1050019","0","0","0"
"1050035","0.03125","0.03125","0.03125"
"1050060","0.03125","0.03125","0.03125"
"1050069","0.0625","0.0625","0.0625"
"1060008","0.03125","0.03125","0.03125"
"1060013","0","0","0"
"1060030","0.03125","0.03125","0.03125"
"1060043","0.0625","0.0625","0.0625"
"1060050","0","0","0"
"1060051","0.03125","0.03125","0.03125"
"1070001","0","0","0"
"1070002","0","0","0"
"1070020","0","0","0"
"1070038","0","0","0"
"1070044","0","0","0"
"1070052","0.0625","0.0625","0.0625"
"1080005","0","0","0"
"1080016","0","0","0"
"1080019","0.03125","0.03125","0.03125"
"1080028","0.03125","0.03125","0.03125"
"1080047","0.03125","0.03125","0.03125"
"1080065","0.03125","0.03125","0.03125"
"1090003","0.03125","0.03125","0.03125"
"1090005","0","0","0"
"1090006","0","0","0"
"1090024","0.03125","0.03125","0.03125"
"1090034","0.03125","0.03125","0.03125"
"1090077","0","0","0"
"1100022","0","0","0"
"1100036","0.0625","0.0625","0.0625"
"1100037","0.03125","0.03125","0.03125"
"1100045","0","0","0"
"1100047","0","0","0"
"1100059","0.0625","0.0625","0.0625"
"1110002","0.03125","0.03125","0.03125"
"1110003","0.03125","0.03125","0.03125"
"1110004","0","0","0"
"1110027","0.03125","0.03125","0.03125"
"1110034","0.03125","0.03125","0.03125"
"1110057","0","0","0"
"1120006","0","0","0"
"1120014","0","0","0"
"1120027","0","0","0"
"1120031","0.0625","0.0625","0.0625"
"1120043","0.03125","0.03125","0.03125"
"1130008","0","0","0"
"1130014","0","0","0"
"1130027","0","0","0"
"1130032","0.09375","0.09375","0.09375"
"1130033","0","0","0"
"1130045","0.0625","0.0625","0.0625"
"1140009","0.03125","0.03125","0.03125"
"1140015","0","0","0"
"1140016","0.015625","0","0.03125"
"1140022","0.03125","0.03125","0.03125"
"1140103","0.03125","0.03125","0.03125"
"1150004","0","0","0"
"1150005","0","0","0"
"1150007","0.125","0.125","0.125"
"1150012","0","0","0"
"1150018","0","0","0"
"1150019","0","0","0"
"1160000","0.03125","0.03125","0.03125"
"1160001","0.03125","0.03125","0.03125"
"1160017","0.03125","0.03125","0.03125"
"1160021","0","0","0"
"1160037","0","0","0"
"1160048","0","0","0"
"1170014","0","0","0"
"1170016","0.03125","0.03125","0.03125"
"1170018","0","0","0"
"1170021","0.0625","0.0625","0.0625"
"1170027","0.0625","0.0625","0.0625"
