"Step","Group: corridor_QMIX - win_rate","Group: corridor_QMIX - win_rate__MIN","Group: corridor_QMIX - win_rate__MAX"
"1460004","0","0","0"
"1460007","0","0","0"
"1460009","0","0","0"
"1460017","0","0","0"
"1460021","0","0","0"
"1460023","0","0","0"
"1470014","0","0","0"
"1470018","0","0","0"
"1470026","0","0","0"
"1470031","0","0","0"
"1470038","0","0","0"
"1480000","0","0","0"
"1480006","0","0","0"
"1480011","0","0","0"
"1480014","0","0","0"
"1480022","0","0","0"
"1480025","0","0","0"
"1490000","0","0","0"
"1490010","0","0","0"
"1490017","0","0","0"
"1490023","0","0","0"
"1490027","0","0","0"
"1490032","0","0","0"
"1500001","0","0","0"
"1500016","0","0","0"
"1500027","0","0","0"
"1500028","0","0","0"
"1500033","0","0","0"
"1510000","0","0","0"
"1510008","0","0","0"
"1510010","0","0","0"
"1510032","0","0","0"
"1510370","0","0","0"
"1520000","0","0","0"
"1520003","0","0","0"
"1520014","0","0","0"
"1520021","0","0","0"
"1520026","0","0","0"
"1520032","0","0","0"
"1530006","0","0","0"
"1530008","0","0","0"
"1530020","0","0","0"
"1530028","0","0","0"
"1530029","0","0","0"
"1530032","0","0","0"
"1540009","0","0","0"
"1540010","0","0","0"
"1540012","0","0","0"
"1540013","0","0","0"
"1540025","0","0","0"
"1540027","0","0","0"
"1550003","0","0","0"
"1550007","0","0","0"
"1550011","0","0","0"
"1550013","0","0","0"
"1550018","0","0","0"
"1550020","0","0","0"
"1560000","0","0","0"
"1560007","0","0","0"
"1560009","0","0","0"
"1560011","0","0","0"
"1560027","0","0","0"
"1570001","0","0","0"
"1570009","0","0","0"
"1570015","0","0","0"
"1570021","0","0","0"
"1570028","0","0","0"
"1580007","0","0","0"
"1580015","0","0","0"
"1580019","0","0","0"
"1580023","0","0","0"
"1580029","0","0","0"
"1580030","0","0","0"
"1590001","0","0","0"
"1590002","0","0","0"
"1590020","0","0","0"
"1590028","0","0","0"
"1590030","0","0","0"
"1590033","0","0","0"
"1600006","0","0","0"
"1600009","0","0","0"
"1600017","0","0","0"
"1600021","0","0","0"
"1600027","0","0","0"
"1610003","0","0","0"
