"Step","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WMnocl - win_rate__MAX"
"1150228","0","0","0"
"1150259","0.15625","0.15625","0.15625"
"1150264","0.03125","0.03125","0.03125"
"1150278","0.53125","0.53125","0.53125"
"1150305","0.125","0.125","0.125"
"1150350","0.0625","0.0625","0.0625"
"1160245","0.0625","0.0625","0.0625"
"1160265","0.71875","0.71875","0.71875"
"1160284","0","0","0"
"1160286","0.09375","0.09375","0.09375"
"1160297","0","0","0"
"1160349","0.09375","0.09375","0.09375"
"1170220","0","0","0"
"1170234","0","0","0"
"1170264","0.875","0.875","0.875"
"1170295","0.03125","0.03125","0.03125"
"1170320","0.09375","0.09375","0.09375"
"1170342","0","0","0"
"1180232","0","0","0"
"1180245","0.6875","0.6875","0.6875"
"1180268","0.03125","0.03125","0.03125"
"1180279","0.0625","0.0625","0.0625"
"1180286","0","0","0"
"1180290","0.15625","0.15625","0.15625"
"1190234","0.78125","0.78125","0.78125"
"1190235","0.125","0.125","0.125"
"1190260","0.0625","0.0625","0.0625"
"1190264","0","0","0"
"1190303","0.125","0.125","0.125"
"1190307","0","0","0"
"1200223","0.8125","0.8125","0.8125"
"1200224","0.125","0.125","0.125"
"1200239","0.15625","0.15625","0.15625"
"1200258","0.09375","0.09375","0.09375"
"1200306","0.125","0.125","0.125"
"1200347","0.15625","0.15625","0.15625"
"1210239","0.03125","0.03125","0.03125"
"1210247","0.21875","0.21875","0.21875"
"1210259","0.03125","0.03125","0.03125"
"1210277","0.71875","0.71875","0.71875"
"1210289","0.09375","0.09375","0.09375"
"1210312","0.03125","0.03125","0.03125"
"1220235","0.109375","0.09375","0.125"
"1220239","0","0","0"
"1220269","0.875","0.875","0.875"
"1220318","0.15625","0.15625","0.15625"
"1220348","0.09375","0.09375","0.09375"
"1230227","0.0625","0.0625","0.0625"
"1230244","0.03125","0.03125","0.03125"
"1230281","0.71875","0.71875","0.71875"
"1230304","0.1875","0.1875","0.1875"
"1230307","0.125","0.125","0.125"
"1230343","0","0","0"
"1240237","0.09375","0.09375","0.09375"
"1240278","0.0625","0.0625","0.0625"
"1240287","0.03125","0.03125","0.03125"
"1240290","0.84375","0.84375","0.84375"
"1240294","0.21875","0.21875","0.21875"
"1240307","0.21875","0.21875","0.21875"
"1250244","0.0625","0.0625","0.0625"
"1250250","0.0625","0.0625","0.0625"
"1250273","0.71875","0.71875","0.71875"
"1250275","0.09375","0.09375","0.09375"
"1250277","0","0","0"
"1250309","0.03125","0.03125","0.03125"
"1260258","0.15625","0.15625","0.15625"
"1260259","0.65625","0.65625","0.65625"
"1260260","0.21875","0.21875","0.21875"
"1260263","0.15625","0.15625","0.15625"
"1260269","0.0625","0.0625","0.0625"
"1260325","0.03125","0.03125","0.03125"
"1270222","0.15625","0.15625","0.15625"
"1270248","0.125","0.125","0.125"
"1270269","0.84375","0.84375","0.84375"
"1270314","0","0","0"
"1270336","0.0625","0.0625","0.0625"
"1270382","0.1875","0.1875","0.1875"
"1280237","0.03125","0.03125","0.03125"
"1280240","0.0625","0.0625","0.0625"
"1280244","0.46875","0.46875","0.46875"
"1280260","0.03125","0.03125","0.03125"
"1280327","0","0","0"
"1280351","0.3125","0.3125","0.3125"
"1290224","0.21875","0.21875","0.21875"
"1290244","0.125","0.125","0.125"
"1290255","0.0625","0.0625","0.0625"
"1290258","0.125","0.125","0.125"
"1290273","0.65625","0.65625","0.65625"
"1290308","0","0","0"
"1300225","0.03125","0.03125","0.03125"
"1300248","0.09375","0.09375","0.09375"
"1300249","0.09375","0.09375","0.09375"
"1300257","0.625","0.625","0.625"
"1300268","0.15625","0.15625","0.15625"
"1300305","0","0","0"
"1310234","0.9375","0.9375","0.9375"
"1310255","0.15625","0.15625","0.15625"
"1310301","0.25","0.25","0.25"
"1310316","0.25","0.25","0.25"
"1310356","0.046875","0","0.09375"
"1320235","0.09375","0.09375","0.09375"
"1320273","0.125","0.125","0.125"
"1320274","0.90625","0.90625","0.90625"
"1320280","0.25","0.25","0.25"
"1320311","0.1875","0.1875","0.1875"
"1320335","0","0","0"
"1330232","0.15625","0.15625","0.15625"
"1330239","0.5625","0.28125","0.84375"
"1330242","0.125","0.125","0.125"
"1330305","0.25","0.25","0.25"
"1330357","0","0","0"
"1340220","0.03125","0.03125","0.03125"
"1340254","0.65625","0.65625","0.65625"
"1340258","0.46875","0.46875","0.46875"
"1340295","0.21875","0.21875","0.21875"
"1340301","0.1875","0.1875","0.1875"
"1340340","0.03125","0.03125","0.03125"
"1350228","0.125","0.125","0.125"
"1350237","0","0","0"
"1350247","0.125","0.125","0.125"
"1350278","0.625","0.625","0.625"
"1350295","0.1875","0.1875","0.1875"
"1350368","0.09375","0.09375","0.09375"
"1360238","0.46875","0.46875","0.46875"
"1360240","0.1875","0.1875","0.1875"
"1360295","0","0","0"
"1360300","0.421875","0.375","0.46875"
"1360357","0.03125","0.03125","0.03125"
"1370225","0.28125","0.28125","0.28125"
"1370226","0.25","0.25","0.25"
"1370249","0.03125","0.03125","0.03125"
"1370252","0.1875","0.1875","0.1875"
"1370264","0.375","0.375","0.375"
"1370313","0.84375","0.84375","0.84375"
"1380220","0.8125","0.8125","0.8125"
"1380234","0.125","0.125","0.125"
"1380259","0.40625","0.40625","0.40625"
"1380324","0.3125","0.3125","0.3125"
"1380325","0","0","0"
"1380327","0.125","0.125","0.125"
"1390234","0.71875","0.71875","0.71875"
"1390242","0.15625","0.15625","0.15625"
"1390259","0","0","0"
"1390264","0.1875","0.1875","0.1875"
"1390307","0.28125","0.28125","0.28125"
"1390350","0.1875","0.1875","0.1875"
