"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"1230257","0.8125","0.8125","0.8125"
"1240220","0.46875","0.46875","0.46875"
"1240232","0.5625","0.5625","0.5625"
"1240237","0.4375","0.4375","0.4375"
"1240243","0.375","0.375","0.375"
"1240291","0.375","0.375","0.375"
"1240330","0.6875","0.6875","0.6875"
"1250226","0.34375","0.34375","0.34375"
"1250255","0.78125","0.78125","0.78125"
"1250266","0.46875","0.46875","0.46875"
"1250271","0.84375","0.84375","0.84375"
"1250274","0.625","0.625","0.625"
"1250333","0.34375","0.34375","0.34375"
"1260232","0.65625","0.65625","0.65625"
"1260237","0.3125","0.3125","0.3125"
"1260273","0.1875","0.1875","0.1875"
"1260275","0.3125","0.3125","0.3125"
"1260278","0.46875","0.46875","0.46875"
"1260310","0.8125","0.8125","0.8125"
"1270230","0.65625","0.65625","0.65625"
"1270232","0.84375","0.84375","0.84375"
"1270265","0.875","0.875","0.875"
"1270279","0.84375","0.84375","0.84375"
"1270344","0.375","0.375","0.375"
"1270345","0.21875","0.21875","0.21875"
"1280220","0.46875","0.46875","0.46875"
"1280263","0.75","0.75","0.75"
"1280274","0.65625","0.65625","0.65625"
"1280275","0.46875","0.46875","0.46875"
"1280279","0.5625","0.5625","0.5625"
"1280368","0.84375","0.84375","0.84375"
"1290223","0.6875","0.6875","0.6875"
"1290226","0.75","0.75","0.75"
"1290238","0.375","0.375","0.375"
"1290243","0.8125","0.8125","0.8125"
"1290261","0.625","0.625","0.625"
"1290293","0.34375","0.34375","0.34375"
"1300230","0.53125","0.53125","0.53125"
"1300231","0.5","0.5","0.5"
"1300241","0.96875","0.96875","0.96875"
"1300247","0.84375","0.84375","0.84375"
"1300248","0.375","0.375","0.375"
"1300267","0.40625","0.40625","0.40625"
"1310223","0.84375","0.84375","0.84375"
"1310234","0.4375","0.4375","0.4375"
"1310238","0.21875","0.21875","0.21875"
"1310267","0.6875","0.6875","0.6875"
"1310282","0.75","0.75","0.75"
"1310299","0.71875","0.71875","0.71875"
"1320234","0.90625","0.90625","0.90625"
