"Step","Group: zerg_10_vs_11_ACORM - win_rate","Group: zerg_10_vs_11_ACORM - win_rate__MIN","Group: zerg_10_vs_11_ACORM - win_rate__MAX"
"1620238","0.0625","0.0625","0.0625"
"1620239","0.15625","0.15625","0.15625"
"1630241","0.1875","0.1875","0.1875"
"1630242","0.09375","0.09375","0.09375"
"1630244","0.125","0.03125","0.21875"
"1640226","0.03125","0.03125","0.03125"
"1640234","0.1875","0.1875","0.1875"
"1640244","0.125","0.125","0.125"
"1640247","0.21875","0.21875","0.21875"
"1650231","0.1875","0.1875","0.1875"
"1650245","0.21875","0.21875","0.21875"
"1650247","0.09375","0.09375","0.09375"
"1650250","0.09375","0.09375","0.09375"
"1660225","0.25","0.25","0.25"
"1660232","0.09375","0.09375","0.09375"
"1660233","0.03125","0.03125","0.03125"
"1660252","0.125","0.125","0.125"
"1670220","0.09375","0.09375","0.09375"
"1670227","0.34375","0.34375","0.34375"
"1670239","0","0","0"
"1670240","0.21875","0.21875","0.21875"
"1680220","0.03125","0.03125","0.03125"
"1680222","0.125","0.125","0.125"
"1680254","0.09375","0.09375","0.09375"
"1680259","0.21875","0.21875","0.21875"
"1690222","0.03125","0.03125","0.03125"
"1690229","0.15625","0.15625","0.15625"
"1690250","0.09375","0.09375","0.09375"
"1690280","0.1875","0.1875","0.1875"
"1700226","0.1875","0.1875","0.1875"
"1700228","0.34375","0.34375","0.34375"
"1700244","0.09375","0.09375","0.09375"
"1700245","0.15625","0.15625","0.15625"
"1710220","0.0625","0.0625","0.0625"
"1710226","0.21875","0.21875","0.21875"
"1710242","0.09375","0.09375","0.09375"
"1710245","0.15625","0.15625","0.15625"
"1720222","0.25","0.25","0.25"
"1720227","0.15625","0.15625","0.15625"
"1720240","0.0625","0.0625","0.0625"
"1720246","0.28125","0.28125","0.28125"
"1730225","0.0625","0.0625","0.0625"
"1730226","0.3125","0.3125","0.3125"
"1730244","0.0625","0.0625","0.0625"
"1730247","0.15625","0.15625","0.15625"
"1740241","0.1875","0.1875","0.1875"
"1740248","0.0625","0.0625","0.0625"
"1740249","0.1875","0.1875","0.1875"
"1740266","0.15625","0.15625","0.15625"
"1750220","0.125","0.125","0.125"
