"Step","Group: zerg_10_vs_11_ACORM_WM - win_rate","Group: zerg_10_vs_11_ACORM_WM - win_rate__MIN","Group: zerg_10_vs_11_ACORM_WM - win_rate__MAX"
"870221","0.125","0.125","0.125"
"870241","0.25","0.25","0.25"
"870246","0.0625","0.0625","0.0625"
"870251","0.25","0.1875","0.3125"
"880220","0.28125","0.15625","0.40625"
"880235","0.15625","0.15625","0.15625"
"880251","0.265625","0.21875","0.3125"
"890226","0.21875","0.21875","0.21875"
"890238","0.15625","0.15625","0.15625"
"890247","0.25","0.25","0.25"
"890256","0.15625","0.15625","0.15625"
"890258","0.25","0.25","0.25"
"900234","0.15625","0.15625","0.15625"
"900247","0.09375","0.09375","0.09375"
"900248","0.125","0.125","0.125"
"900250","0.28125","0.28125","0.28125"
"900256","0.28125","0.28125","0.28125"
"910227","0.125","0.125","0.125"
"910236","0.1875","0.1875","0.1875"
"910241","0.25","0.25","0.25"
"910245","0.1875","0.1875","0.1875"
"910267","0.25","0.25","0.25"
"920228","0.21875","0.21875","0.21875"
"920231","0.1875","0.1875","0.1875"
"920232","0.1875","0.1875","0.1875"
"920240","0.125","0.125","0.125"
"920273","0.25","0.25","0.25"
"930230","0.0625","0.0625","0.0625"
"930235","0.234375","0.15625","0.3125"
"930237","0.375","0.375","0.375"
"930243","0.28125","0.28125","0.28125"
"940223","0.125","0.125","0.125"
"940225","0.15625","0.15625","0.15625"
"940239","0.09375","0.09375","0.09375"
"940248","0.25","0.25","0.25"
"940251","0.0625","0.0625","0.0625"
"950222","0.21875","0.21875","0.21875"
"950234","0.28125","0.28125","0.28125"
"950246","0.25","0.25","0.25"
"950252","0.15625","0.15625","0.15625"
"950296","0.34375","0.34375","0.34375"
"960221","0.15625","0.15625","0.15625"
"960228","0.125","0.125","0.125"
"960237","0.15625","0.15625","0.15625"
"960242","0.21875","0.21875","0.21875"
"960244","0.25","0.25","0.25"
"970220","0.15625","0.15625","0.15625"
"970231","0.21875","0.21875","0.21875"
"970232","0.15625","0.15625","0.15625"
"970233","0.25","0.25","0.25"
"970239","0.1875","0.1875","0.1875"
"980224","0.28125","0.28125","0.28125"
"980229","0.21875","0.21875","0.21875"
"980243","0.15625","0.15625","0.15625"
"980244","0.25","0.25","0.25"
"980247","0.25","0.25","0.25"
"990222","0.21875","0.21875","0.21875"
"990226","0.1875","0.1875","0.1875"
"990229","0.09375","0.09375","0.09375"
"990252","0.1875","0.1875","0.1875"
"990256","0.3125","0.3125","0.3125"
"1000221","0.46875","0.46875","0.46875"
"1000223","0.28125","0.28125","0.28125"
"1000228","0.09375","0.09375","0.09375"
"1000238","0.3125","0.3125","0.3125"
"1000265","0.28125","0.28125","0.28125"
"1010224","0.3125","0.3125","0.3125"
"1010226","0.15625","0.15625","0.15625"
"1010235","0.21875","0.21875","0.21875"
"1010236","0.3125","0.3125","0.3125"
"1010257","0.1875","0.1875","0.1875"
"1020235","0.15625","0.15625","0.15625"
"1020237","0.15625","0.15625","0.15625"
"1020241","0.28125","0.28125","0.28125"
"1020246","0.21875","0.21875","0.21875"
"1020266","0.34375","0.34375","0.34375"
"1030222","0.0625","0.0625","0.0625"
"1030223","0.21875","0.21875","0.21875"
"1030232","0.1875","0.1875","0.1875"
"1030233","0.1875","0.1875","0.1875"
"1030261","0.25","0.25","0.25"
"1040228","0.28125","0.28125","0.28125"
"1040240","0.1875","0.1875","0.1875"
"1040244","0.28125","0.28125","0.28125"
"1040247","0.21875","0.21875","0.21875"
"1040251","0.25","0.25","0.25"
"1050227","0.09375","0.09375","0.09375"
"1050229","0.25","0.25","0.25"
"1050235","0.25","0.25","0.25"
"1050249","0.21875","0.21875","0.21875"
"1050257","0.34375","0.34375","0.34375"
"1060236","0.28125","0.28125","0.28125"
"1060238","0.21875","0.21875","0.21875"
"1060239","0.3125","0.3125","0.3125"
"1060251","0.34375","0.34375","0.34375"
"1060256","0.15625","0.15625","0.15625"
"1070231","0.3125","0.3125","0.3125"
"1070243","0.1875","0.1875","0.1875"
"1070252","0.4375","0.4375","0.4375"
"1070256","0.25","0.25","0.25"
"1070257","0.125","0.125","0.125"
"1080221","0.125","0.125","0.125"
"1080226","0.1875","0.1875","0.1875"
"1080227","0.28125","0.28125","0.28125"
"1080254","0.1875","0.1875","0.1875"
"1080269","0.0625","0.0625","0.0625"
"1090220","0.25","0.25","0.25"
"1090222","0.15625","0.15625","0.15625"
"1090224","0.15625","0.15625","0.15625"
"1090230","0.25","0.25","0.25"
"1090253","0.15625","0.15625","0.15625"
"1100225","0.15625","0.15625","0.15625"
"1100226","0.28125","0.28125","0.28125"
"1100228","0.3125","0.3125","0.3125"
"1100236","0.09375","0.09375","0.09375"
"1100249","0.3125","0.3125","0.3125"
"1110220","0.265625","0.1875","0.34375"
"1110222","0.15625","0.15625","0.15625"
"1110226","0.1875","0.1875","0.1875"
"1110246","0.34375","0.34375","0.34375"
"1120220","0.28125","0.21875","0.34375"
"1120223","0.21875","0.21875","0.21875"
"1120228","0.1875","0.1875","0.1875"
"1120241","0.15625","0.15625","0.15625"
"1130224","0.375","0.375","0.375"
"1130226","0.25","0.25","0.25"
"1130230","0.25","0.25","0.25"
"1130234","0.21875","0.1875","0.25"
"1140223","0.15625","0.15625","0.15625"
"1140230","0.21875","0.21875","0.21875"
"1140234","0.3125","0.3125","0.3125"
"1140237","0.28125","0.28125","0.28125"
"1140251","0.21875","0.21875","0.21875"
"1150223","0.3125","0.3125","0.3125"
"1150227","0.125","0.125","0.125"
"1150238","0.28125","0.28125","0.28125"
"1150244","0.21875","0.21875","0.21875"
"1150264","0.15625","0.15625","0.15625"
"1160220","0.28125","0.28125","0.28125"
"1160231","0.28125","0.28125","0.28125"
"1160247","0.28125","0.28125","0.28125"
"1160248","0.25","0.25","0.25"
"1160253","0.25","0.25","0.25"
"1170223","0.09375","0.09375","0.09375"
"1170227","0.09375","0.09375","0.09375"
"1170242","0.1875","0.1875","0.1875"
"1170251","0.21875","0.21875","0.21875"
"1170252","0.21875","0.21875","0.21875"
"1180220","0.3125","0.3125","0.3125"
"1180223","0.21875","0.21875","0.21875"
"1180227","0.3125","0.3125","0.3125"
"1180232","0.21875","0.21875","0.21875"
"1180243","0.25","0.25","0.25"
"1190226","0.15625","0.15625","0.15625"
"1190234","0.234375","0.1875","0.28125"
"1190247","0.25","0.25","0.25"
"1190259","0.1875","0.1875","0.1875"
"1200240","0.25","0.25","0.25"
"1200244","0.21875","0.21875","0.21875"
"1200246","0.25","0.25","0.25"
"1200252","0.28125","0.28125","0.28125"
"1200254","0.3125","0.3125","0.3125"
"1210223","0.125","0.125","0.125"
"1210228","0.3125","0.3125","0.3125"
"1210256","0.21875","0.21875","0.21875"
"1210264","0.09375","0.09375","0.09375"
"1210270","0.375","0.375","0.375"
"1220236","0.21875","0.21875","0.21875"
"1220237","0.15625","0.15625","0.15625"
"1220250","0.1875","0.1875","0.1875"
"1220262","0.15625","0.15625","0.15625"
"1220291","0.21875","0.21875","0.21875"
"1230223","0.125","0.125","0.125"
"1230226","0.1875","0.1875","0.1875"
"1230243","0.203125","0.15625","0.25"
"1230252","0.1875","0.1875","0.1875"
"1240223","0.1875","0.1875","0.1875"
"1240225","0.28125","0.28125","0.28125"
"1240226","0.15625","0.15625","0.15625"
"1240232","0.125","0.09375","0.15625"
"1250224","0.34375","0.34375","0.34375"
"1250228","0.21875","0.21875","0.21875"
"1250230","0.375","0.375","0.375"
"1250238","0.1875","0.1875","0.1875"
"1250245","0.1875","0.1875","0.1875"
"1260227","0.125","0.125","0.125"
"1260241","0.3125","0.3125","0.3125"
"1260242","0.28125","0.28125","0.28125"
"1260244","0.15625","0.15625","0.15625"
"1260271","0.15625","0.15625","0.15625"
"1270238","0.15625","0.15625","0.15625"
"1270243","0.25","0.25","0.25"
"1270250","0.34375","0.34375","0.34375"
"1270255","0.1875","0.1875","0.1875"
"1270289","0.28125","0.28125","0.28125"
"1280221","0.15625","0.15625","0.15625"
"1280226","0.3125","0.3125","0.3125"
"1280250","0.21875","0.21875","0.21875"
"1280253","0.1875","0.1875","0.1875"
"1280257","0.09375","0.09375","0.09375"
"1290222","0.28125","0.28125","0.28125"
"1290231","0.15625","0.15625","0.15625"
"1290238","0.21875","0.21875","0.21875"
"1290252","0.25","0.25","0.25"
"1290270","0.34375","0.34375","0.34375"
"1300221","0.15625","0.15625","0.15625"
"1300227","0.28125","0.28125","0.28125"
"1300235","0.25","0.25","0.25"
"1300251","0.0625","0.0625","0.0625"
"1300265","0.09375","0.09375","0.09375"
"1310227","0.28125","0.28125","0.28125"
"1310228","0.25","0.25","0.25"
"1310245","0.1875","0.1875","0.1875"
"1310251","0.15625","0.15625","0.15625"
"1310259","0.21875","0.21875","0.21875"
"1320224","0.1875","0.1875","0.1875"
"1320225","0.34375","0.34375","0.34375"
"1320231","0.1875","0.1875","0.1875"
"1320244","0.34375","0.34375","0.34375"
"1320277","0.1875","0.1875","0.1875"
"1330236","0.3125","0.3125","0.3125"
"1330240","0.25","0.25","0.25"
"1330242","0.03125","0.03125","0.03125"
"1330252","0.25","0.25","0.25"
"1330254","0.15625","0.15625","0.15625"
"1340223","0.25","0.25","0.25"
"1340228","0.1875","0.1875","0.1875"
"1340236","0.28125","0.28125","0.28125"
"1340251","0.3125","0.3125","0.3125"
"1340257","0.1875","0.1875","0.1875"
"1350224","0.125","0.125","0.125"
"1350225","0.40625","0.40625","0.40625"
"1350229","0.28125","0.28125","0.28125"
"1350249","0.09375","0.09375","0.09375"
"1350261","0.1875","0.1875","0.1875"
"1360227","0.28125","0.28125","0.28125"
"1360236","0.25","0.25","0.25"
"1360244","0.4375","0.4375","0.4375"
"1360256","0.28125","0.28125","0.28125"
"1360259","0.4375","0.4375","0.4375"
"1370234","0.21875","0.21875","0.21875"
"1370236","0.40625","0.40625","0.40625"
"1370238","0.25","0.25","0.25"
"1370243","0.3125","0.3125","0.3125"
"1370252","0.3125","0.3125","0.3125"
"1380220","0.40625","0.40625","0.40625"
"1380227","0.34375","0.34375","0.34375"
"1380233","0.40625","0.40625","0.40625"
"1380247","0.1875","0.1875","0.1875"
"1380250","0.15625","0.15625","0.15625"
"1390221","0.21875","0.21875","0.21875"
"1390223","0.40625","0.40625","0.40625"
"1390229","0.28125","0.28125","0.28125"
"1390234","0.21875","0.21875","0.21875"
"1390246","0.28125","0.28125","0.28125"
"1400224","0.1875","0.1875","0.1875"
"1400227","0.28125","0.28125","0.28125"
"1400248","0.125","0.125","0.125"
"1400255","0.15625","0.15625","0.15625"
"1400256","0.0625","0.0625","0.0625"
"1410225","0.171875","0.15625","0.1875"
"1410230","0.21875","0.21875","0.21875"
"1410238","0.1875","0.1875","0.1875"
"1410247","0.28125","0.28125","0.28125"
"1420222","0.25","0.25","0.25"
"1420225","0.3125","0.3125","0.3125"
"1420239","0.28125","0.28125","0.28125"
"1420243","0.21875","0.21875","0.21875"
"1420256","0.15625","0.15625","0.15625"
"1430221","0.4375","0.4375","0.4375"
"1430225","0.1875","0.1875","0.1875"
