"Step","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MIN","Group: 3s5z_vs_3s6z_ACORM_WM - win_rate__MAX"
"790294","0.53125","0.53125","0.53125"
"790317","0.03125","0.03125","0.03125"
"790363","0.1875","0.1875","0.1875"
"790629","0","0","0"
"800223","0.1875","0.1875","0.1875"
"800227","0.625","0.625","0.625"
"800279","0","0","0"
"800304","0.3125","0.3125","0.3125"
"800317","0","0","0"
"800385","0","0","0"
"800637","0","0","0"
"810230","0","0","0"
"810242","0.28125","0.28125","0.28125"
"810261","0.1875","0.1875","0.1875"
"810270","0.6875","0.6875","0.6875"
"810295","0.09375","0.09375","0.09375"
"810296","0","0","0"
"810675","0","0","0"
"820249","0","0","0"
"820278","0.65625","0.65625","0.65625"
"820280","0.28125","0.28125","0.28125"
"820301","0.03125","0.03125","0.03125"
"820305","0","0","0"
"820334","0.15625","0.15625","0.15625"
"820755","0","0","0"
"830221","0.03125","0.03125","0.03125"
"830271","0.875","0.875","0.875"
"830272","0","0","0"
"830287","0.34375","0.34375","0.34375"
"830368","0.03125","0.03125","0.03125"
"830371","0.03125","0.03125","0.03125"
"830672","0","0","0"
"840223","0","0","0"
"840228","0.625","0.625","0.625"
"840242","0.3125","0.3125","0.3125"
"840281","0.15625","0.15625","0.15625"
"840313","0.03125","0.03125","0.03125"
"840340","0","0","0"
"840625","0","0","0"
"850255","0.28125","0.28125","0.28125"
"850261","0.03125","0.03125","0.03125"
"850279","0.75","0.75","0.75"
"850296","0","0","0"
"850312","0.03125","0.03125","0.03125"
"850344","0.03125","0.03125","0.03125"
"850602","0","0","0"
"860227","0.09375","0.09375","0.09375"
"860243","0.1875","0.1875","0.1875"
"860266","0.6875","0.6875","0.6875"
"860319","0","0","0"
"860325","0.3125","0.3125","0.3125"
"860386","0.03125","0.03125","0.03125"
"860632","0","0","0"
"870276","0.0625","0.0625","0.0625"
"870312","0.421875","0.40625","0.4375"
"870332","0.03125","0.03125","0.03125"
"870333","0.03125","0.03125","0.03125"
"870371","0.8125","0.8125","0.8125"
"870759","0","0","0"
"880224","0.1875","0.1875","0.1875"
"880227","0","0","0"
"880236","0.03125","0.03125","0.03125"
"880262","0","0","0"
"880270","0.46875","0.46875","0.46875"
"880310","0.25","0.25","0.25"
"880606","0","0","0"
"890263","0.65625","0.65625","0.65625"
"890274","0.34375","0.34375","0.34375"
"890301","0.1875","0.1875","0.1875"
"890316","0.03125","0.03125","0.03125"
"890365","0","0","0"
"890380","0.5","0.5","0.5"
"890735","0","0","0"
"900242","0.625","0.625","0.625"
"900261","0.125","0.125","0.125"
"900287","0.6875","0.6875","0.6875"
"900322","0","0","0"
"900381","0.09375","0.09375","0.09375"
"900382","0.34375","0.34375","0.34375"
"900709","0","0","0"
"910233","0.53125","0.53125","0.53125"
"910243","0.21875","0.0625","0.375"
"910267","0.25","0.25","0.25"
"910280","0.21875","0.21875","0.21875"
"910291","0","0","0"
"910742","0","0","0"
"920220","0.1875","0.1875","0.1875"
"920252","0","0","0"
"920253","0.125","0.125","0.125"
"920275","0.09375","0.09375","0.09375"
"920283","0.375","0.375","0.375"
"920289","0.375","0.375","0.375"
"920704","0","0","0"
"930234","0.375","0.375","0.375"
"930245","0.21875","0.21875","0.21875"
"930254","0","0","0"
"930262","0.71875","0.71875","0.71875"
"930284","0.5625","0.5625","0.5625"
"930302","0.15625","0.15625","0.15625"
"930729","0.03125","0.03125","0.03125"
"940226","0.6875","0.6875","0.6875"
"940227","0.1875","0.1875","0.1875"
"940251","0.21875","0.21875","0.21875"
"940276","0.65625","0.65625","0.65625"
"940295","0.28125","0.28125","0.28125"
"940300","0","0","0"
"940700","0","0","0"
"950228","0.125","0.125","0.125"
"950237","0","0","0"
"950253","0.625","0.625","0.625"
"950260","0.28125","0.28125","0.28125"
"950273","0.21875","0.21875","0.21875"
"950285","0.4375","0.4375","0.4375"
"950625","0","0","0"
"960231","0.125","0.125","0.125"
"960260","0.3125","0.3125","0.3125"
"960265","0.5625","0.5625","0.5625"
"960273","0.5625","0.5625","0.5625"
"960354","0","0","0"
"960380","0.75","0.75","0.75"
"960753","0","0","0"
"970254","0.03125","0.03125","0.03125"
"970262","0.1875","0.1875","0.1875"
"970277","0.71875","0.71875","0.71875"
"970287","0.6875","0.6875","0.6875"
"970295","0.6875","0.6875","0.6875"
"970378","0","0","0"
"970736","0","0","0"
"980230","0.6875","0.6875","0.6875"
"980265","0.28125","0.28125","0.28125"
"980276","0.03125","0.03125","0.03125"
"980297","0.28125","0.28125","0.28125"
"980312","0","0","0"
"980339","0.09375","0.09375","0.09375"
"980624","0","0","0"
"990225","0","0","0"
"990272","0.6875","0.6875","0.6875"
"990275","0.09375","0.09375","0.09375"
"990296","0.15625","0.15625","0.15625"
"990320","0.5","0.5","0.5"
"990380","0.375","0.375","0.375"
"990674","0.03125","0.03125","0.03125"
"1000220","0.375","0.375","0.375"
"1000253","0.046875","0","0.09375"
"1000288","0.59375","0.5","0.6875"
