"Step","Group: 3s5z_vs_3s6z_QMIX - win_rate","Group: 3s5z_vs_3s6z_QMIX - win_rate__MIN","Group: 3s5z_vs_3s6z_QMIX - win_rate__MAX"
"1210010","0","0","0"
"1210034","0","0","0"
"1210051","0","0","0"
"1210078","0","0","0"
"1210101","0","0","0"
"1210148","0","0","0"
"1220002","0","0","0"
"1220016","0","0","0"
"1220024","0","0","0"
"1220087","0","0","0"
"1220155","0","0","0"
"1220164","0","0","0"
"1230008","0","0","0"
"1230010","0","0","0"
"1230019","0","0","0"
"1230044","0","0","0"
"1230069","0","0","0"
"1230073","0","0","0"
"1240013","0","0","0"
"1240018","0","0","0"
"1240023","0","0","0"
"1240030","0","0","0"
"1240035","0","0","0"
"1240040","0","0","0"
"1250001","0","0","0"
"1250006","0","0","0"
"1250007","0","0","0"
"1250025","0","0","0"
"1250041","0","0","0"
"1250078","0","0","0"
"1260024","0","0","0"
"1260044","0","0","0"
"1260060","0","0","0"
"1260076","0","0","0"
"1260097","0","0","0"
"1260141","0","0","0"
"1270005","0","0","0"
"1270011","0","0","0"
"1270021","0","0","0"
"1270032","0","0","0"
"1270046","0","0","0"
"1270090","0","0","0"
"1280007","0","0","0"
"1280008","0","0","0"
"1280013","0","0","0"
"1280014","0","0","0"
"1280017","0","0","0"
"1280107","0","0","0"
"1290014","0","0","0"
"1290017","0","0","0"
"1290039","0","0","0"
"1290045","0","0","0"
"1290054","0","0","0"
"1290151","0","0","0"
"1300030","0","0","0"
"1300038","0","0","0"
"1300041","0","0","0"
"1300049","0","0","0"
"1300117","0","0","0"
"1300141","0","0","0"
"1310039","0","0","0"
"1310040","0","0","0"
"1310061","0","0","0"
"1310139","0","0","0"
"1310140","0","0","0"
"1310149","0","0","0"
"1320024","0","0","0"
"1320026","0","0","0"
"1320033","0","0","0"
"1320041","0","0","0"
"1320042","0","0","0"
"1320079","0","0","0"
"1330020","0","0","0"
"1330029","0","0","0"
"1330035","0","0","0"
"1330049","0","0","0"
"1330061","0","0","0"
"1330122","0","0","0"
"1340002","0","0","0"
"1340019","0","0","0"
"1340028","0","0","0"
"1340049","0","0","0"
"1340075","0","0","0"
"1340107","0","0","0"
"1350006","0","0","0"
"1350032","0","0","0"
"1350044","0","0","0"
"1350067","0","0","0"
"1350086","0","0","0"
"1350093","0","0","0"
"1360011","0","0","0"
"1360022","0","0","0"
"1360026","0","0","0"
"1360029","0","0","0"
"1360102","0","0","0"
"1370000","0","0","0"
"1370010","0","0","0"
"1370034","0","0","0"
"1370074","0","0","0"
"1370119","0","0","0"
"1370125","0","0","0"
"1380012","0","0","0"
"1380016","0","0","0"
"1380028","0","0","0"
"1380047","0","0","0"
"1380089","0","0","0"
"1380160","0","0","0"
"1390023","0","0","0"
"1390045","0","0","0"
"1390104","0","0","0"
"1390115","0","0","0"
"1390129","0","0","0"
"1390150","0","0","0"
"1400011","0","0","0"
"1400013","0","0","0"
"1400028","0","0","0"
"1400036","0","0","0"
"1400067","0","0","0"
"1400084","0","0","0"
"1410011","0","0","0"
"1410023","0","0","0"
"1410035","0","0","0"
"1410128","0","0","0"
"1410129","0","0","0"
"1410135","0","0","0"
"1420006","0","0","0"
"1420008","0","0","0"
"1420015","0","0","0"
"1420032","0","0","0"
"1420042","0","0","0"
"1420052","0","0","0"
"1430026","0","0","0"
"1430030","0","0","0"
"1430033","0","0","0"
"1430066","0","0","0"
"1430103","0","0","0"
"1430164","0","0","0"
"1440010","0","0","0"
"1440017","0","0","0"
"1440018","0","0","0"
"1440070","0","0","0"
"1440090","0","0","0"
"1440120","0","0","0"
"1450040","0","0","0"
"1450058","0","0","0"
"1450059","0","0","0"
"1450065","0","0","0"
"1450068","0","0","0"
"1450071","0","0","0"
"1460003","0","0","0"
"1460015","0","0","0"
"1460037","0","0","0"
"1460041","0","0","0"
"1460143","0","0","0"
"1460168","0","0","0"
"1470006","0","0","0"
"1470007","0","0","0"
"1470008","0","0","0"
"1470023","0","0","0"
"1470053","0","0","0"
"1470145","0","0","0"
"1480000","0","0","0"
"1480012","0","0","0"
"1480027","0","0","0"
"1480077","0","0","0"
"1480090","0","0","0"
"1480159","0","0","0"
"1490030","0","0","0"
"1490032","0","0","0"
"1490051","0","0","0"
"1490055","0","0","0"
"1490132","0","0","0"
"1490141","0","0","0"
"1500013","0","0","0"
"1500038","0","0","0"
"1500062","0","0","0"
"1500085","0","0","0"
"1500088","0","0","0"
"1500158","0","0","0"
"1510001","0","0","0"
"1510032","0","0","0"
"1510035","0","0","0"
"1510051","0","0","0"
"1510119","0","0","0"
"1510158","0","0","0"
"1520000","0","0","0"
"1520041","0","0","0"
"1520060","0","0","0"
"1520082","0","0","0"
"1520132","0","0","0"
"1520142","0","0","0"
"1530022","0","0","0"
"1530024","0","0","0"
"1530025","0","0","0"
"1530086","0","0","0"
"1530094","0","0","0"
"1530127","0","0","0"
"1540014","0.03125","0.03125","0.03125"
"1540025","0","0","0"
"1540029","0","0","0"
"1540054","0","0","0"
"1540069","0","0","0"
"1540128","0","0","0"
"1550007","0","0","0"
"1550015","0","0","0"
"1550034","0","0","0"
