"Step","Group: 5m_vs_6m_ACORM - win_rate","Group: 5m_vs_6m_ACORM - win_rate__MIN","Group: 5m_vs_6m_ACORM - win_rate__MAX"
"620621","0.53125","0.53125","0.53125"
"620624","0.34375","0.34375","0.34375"
"630603","0.609375","0.4375","0.78125"
"630606","0.6875","0.6875","0.6875"
"630611","0.625","0.625","0.625"
"630616","0.59375","0.59375","0.59375"
"630631","0.15625","0.15625","0.15625"
"640616","0.84375","0.8125","0.875"
"640617","0.4375","0.4375","0.4375"
"640618","0.5","0.5","0.5"
"640623","0.5625","0.5625","0.5625"
"640626","0.34375","0.34375","0.34375"
"650600","0.4375","0.4375","0.4375"
"650616","0.625","0.625","0.625"
"650618","0.71875","0.71875","0.71875"
"650624","0.546875","0.53125","0.5625"
"650630","0.40625","0.40625","0.40625"
"660602","0.59375","0.59375","0.59375"
"660610","0.515625","0.4375","0.59375"
"660612","0.59375","0.59375","0.59375"
"660614","0.53125","0.53125","0.53125"
"660657","0.53125","0.53125","0.53125"
"670604","0.6875","0.6875","0.6875"
"670606","0.75","0.75","0.75"
"670611","0.75","0.75","0.75"
"670617","0.1875","0.1875","0.1875"
"670619","0.71875","0.71875","0.71875"
"670621","0.875","0.875","0.875"
"680600","0.4375","0.28125","0.59375"
"680612","0.578125","0.5625","0.59375"
"680617","0.78125","0.78125","0.78125"
"680621","0.65625","0.65625","0.65625"
"690606","0.625","0.625","0.625"
"690612","0.5625","0.5625","0.5625"
"690613","0.6875","0.6875","0.6875"
"690616","0.65625","0.65625","0.65625"
"690618","0.6875","0.6875","0.6875"
"690631","0.53125","0.53125","0.53125"
"700600","0.75","0.75","0.75"
"700614","0.53125","0.53125","0.53125"
"700619","0.625","0.625","0.625"
"700620","0.5625","0.5625","0.5625"
"700622","0.40625","0.40625","0.40625"
"700623","0.5","0.5","0.5"
"710602","0.5","0.5","0.5"
"710608","0.5","0.5","0.5"
"710612","0.53125","0.53125","0.53125"
"710613","0.4375","0.4375","0.4375"
"710619","0.75","0.75","0.75"
"710624","0.65625","0.65625","0.65625"
"720600","0.5625","0.5625","0.5625"
"720603","0.71875","0.71875","0.71875"
"720607","0.65625","0.65625","0.65625"
"720615","0.71875","0.71875","0.71875"
"720619","0.40625","0.40625","0.40625"
"720622","0.53125","0.53125","0.53125"
"730601","0.78125","0.78125","0.78125"
"730602","0.40625","0.40625","0.40625"
"730603","0.53125","0.53125","0.53125"
"730609","0.84375","0.84375","0.84375"
"730621","0.53125","0.53125","0.53125"
"730665","0.4375","0.4375","0.4375"
"740600","0.6875","0.6875","0.6875"
"740601","0.5","0.5","0.5"
"740603","0.6875","0.6875","0.6875"
"740604","0.5","0.5","0.5"
"740626","0.75","0.75","0.75"
"740662","0.34375","0.34375","0.34375"
"750600","0.78125","0.78125","0.78125"
"750603","0.75","0.75","0.75"
"750604","0.59375","0.59375","0.59375"
"750614","0.5625","0.5625","0.5625"
"750623","0.28125","0.28125","0.28125"
"750625","0.3125","0.3125","0.3125"
"760608","0.59375","0.59375","0.59375"
"760614","0.671875","0.65625","0.6875"
"760619","0.4375","0.4375","0.4375"
"760621","0.515625","0.40625","0.625"
"770603","0.5625","0.5625","0.5625"
"770606","0.59375","0.59375","0.59375"
"770609","0.5625","0.5625","0.5625"
"770612","0.75","0.75","0.75"
"770614","0.625","0.625","0.625"
"770617","0.34375","0.34375","0.34375"
"780602","0.625","0.625","0.625"
"780604","0.625","0.625","0.625"
"780608","0.75","0.75","0.75"
"780622","0.609375","0.5625","0.65625"
"780637","0.5","0.5","0.5"
"790600","0.4375","0.4375","0.4375"
"790603","0.6875","0.6875","0.6875"
"790604","0.59375","0.59375","0.59375"
"790614","0.53125","0.5","0.5625"
"790618","0.75","0.75","0.75"
"800609","0.5","0.5","0.5"
"800620","0.671875","0.625","0.71875"
"800622","0.5","0.5","0.5"
"800624","0.71875","0.71875","0.71875"
"800626","0.71875","0.71875","0.71875"
"810602","0.34375","0.34375","0.34375"
"810603","0.71875","0.71875","0.71875"
"810609","0.5625","0.5625","0.5625"
"810611","0.71875","0.71875","0.71875"
"810620","0.65625","0.65625","0.65625"
"810649","0.40625","0.40625","0.40625"
"820605","0.625","0.625","0.625"
"820611","0.65625","0.65625","0.65625"
"820613","0.625","0.625","0.625"
"820616","0.71875","0.71875","0.71875"
"820623","0.4375","0.4375","0.4375"
"820643","0.46875","0.46875","0.46875"
"830600","0.34375","0.34375","0.34375"
"830606","0.78125","0.78125","0.78125"
"830613","0.625","0.625","0.625"
"830616","0.75","0.75","0.75"
"830618","0.5625","0.5625","0.5625"
"830655","0.53125","0.53125","0.53125"
"840607","0.65625","0.65625","0.65625"
"840609","0.59375","0.59375","0.59375"
"840610","0.5625","0.40625","0.71875"
"840613","0.6875","0.6875","0.6875"
"840625","0.5625","0.5625","0.5625"
"850601","0.5","0.5","0.5"
"850602","0.703125","0.65625","0.75"
"850607","0.71875","0.71875","0.71875"
"850609","0.78125","0.78125","0.78125"
"850617","0.46875","0.46875","0.46875"
"860605","0.6875","0.6875","0.6875"
"860609","0.625","0.625","0.625"
"860611","0.6875","0.6875","0.6875"
"860613","0.78125","0.78125","0.78125"
"860614","0.625","0.625","0.625"
"860619","0.28125","0.28125","0.28125"
"870600","0.75","0.75","0.75"
"870604","0.625","0.625","0.625"
"870606","0.5","0.5","0.5"
"870610","0.84375","0.84375","0.84375"
"870612","0.6875","0.6875","0.6875"
"870613","0.59375","0.59375","0.59375"
"880606","0.53125","0.53125","0.53125"
"880607","0.71875","0.71875","0.71875"
"880613","0.65625","0.65625","0.65625"
"880616","0.65625","0.65625","0.65625"
"880618","0.75","0.75","0.75"
"880622","0.5625","0.5625","0.5625"
"890610","0.5625","0.5625","0.5625"
"890611","0.59375","0.59375","0.59375"
"890615","0.34375","0.34375","0.34375"
"890616","0.65625","0.65625","0.65625"
"890619","0.609375","0.53125","0.6875"
"900604","0.78125","0.78125","0.78125"
"900606","0.53125","0.53125","0.53125"
"900608","0.6875","0.6875","0.6875"
"900611","0.75","0.75","0.75"
"900620","0.625","0.625","0.625"
"900625","0.65625","0.65625","0.65625"
"910606","0.625","0.625","0.625"
"910607","0.4375","0.4375","0.4375"
"910609","0.71875","0.71875","0.71875"
"910611","0.625","0.625","0.625"
"910616","0.796875","0.78125","0.8125"
"920604","0.59375","0.59375","0.59375"
"920611","0.65625","0.65625","0.65625"
"920616","0.75","0.75","0.75"
"920617","0.375","0.375","0.375"
"920618","0.375","0.375","0.375"
"920622","0.3125","0.3125","0.3125"
"930603","0.75","0.75","0.75"
"930609","0.125","0.125","0.125"
"930611","0.78125","0.78125","0.78125"
"930616","0.65625","0.65625","0.65625"
"930627","0.5","0.5","0.5"
"930660","0.46875","0.46875","0.46875"
"940605","0.71875","0.71875","0.71875"
"940608","0.828125","0.78125","0.875"
"940609","0.78125","0.78125","0.78125"
"940613","0.28125","0.28125","0.28125"
"940622","0.59375","0.59375","0.59375"
"950600","0.640625","0.53125","0.75"
"950607","0.46875","0.46875","0.46875"
"950616","0.46875","0.46875","0.46875"
"950618","0.8125","0.8125","0.8125"
"950621","0.84375","0.84375","0.84375"
"960607","0.875","0.875","0.875"
"960608","0.625","0.625","0.625"
"960609","0.75","0.75","0.75"
"960619","0.625","0.53125","0.71875"
"960664","0.40625","0.40625","0.40625"
"970601","0.625","0.625","0.625"
"970610","0.75","0.75","0.75"
"970618","0.3125","0.3125","0.3125"
"970622","0.75","0.75","0.75"
"970625","0.328125","0.15625","0.5"
"980603","0.59375","0.59375","0.59375"
"980606","0.40625","0.40625","0.40625"
"980612","0.65625","0.65625","0.65625"
"980615","0.4375","0.4375","0.4375"
"980622","0.65625","0.65625","0.65625"
"980657","0.5","0.5","0.5"
"990602","0.625","0.625","0.625"
"990607","0.5625","0.5625","0.5625"
"990610","0.53125","0.53125","0.53125"
"990611","0.6875","0.625","0.75"
"990621","0.6875","0.6875","0.6875"
"1000612","0.65625","0.65625","0.65625"
"1000615","0.71875","0.71875","0.71875"
"1000617","0.71875","0.71875","0.71875"
"1000624","0.5","0.5","0.5"
"1000627","0.53125","0.53125","0.53125"
"1000643","0.4375","0.4375","0.4375"
"1010606","0.40625","0.40625","0.40625"
"1010612","0.78125","0.78125","0.78125"
"1010615","0.59375","0.59375","0.59375"
