"Step","Group: 5m_vs_6m_ACORM_WM - win_rate","Group: 5m_vs_6m_ACORM_WM - win_rate__MIN","Group: 5m_vs_6m_ACORM_WM - win_rate__MAX"
"1240609","0.59375","0.59375","0.59375"
"1240614","0.6875","0.6875","0.6875"
"1240618","0.78125","0.78125","0.78125"
"1250600","0.8125","0.8125","0.8125"
"1250613","0.75","0.75","0.75"
"1250614","0.5625","0.5625","0.5625"
"1250615","0.71875","0.71875","0.71875"
"1250619","0.59375","0.59375","0.59375"
"1260607","0.6875","0.6875","0.6875"
"1260613","0.625","0.625","0.625"
"1260617","0.84375","0.84375","0.84375"
"1260622","0.65625","0.65625","0.65625"
"1270600","0.59375","0.59375","0.59375"
"1270610","0.875","0.875","0.875"
"1270614","0.75","0.75","0.75"
"1270615","0.65625","0.65625","0.65625"
"1270621","0.71875","0.71875","0.71875"
"1280602","0.8125","0.8125","0.8125"
"1280606","0.75","0.75","0.75"
"1280614","0.59375","0.59375","0.59375"
"1280624","0.75","0.75","0.75"
"1280626","0.65625","0.65625","0.65625"
"1290602","0.75","0.75","0.75"
"1290605","0.6875","0.6875","0.6875"
"1290608","0.75","0.75","0.75"
"1290609","0.6875","0.6875","0.6875"
"1290615","0.75","0.75","0.75"
"1300601","0.65625","0.65625","0.65625"
"1300604","0.75","0.75","0.75"
"1300606","0.65625","0.65625","0.65625"
"1300621","0.75","0.75","0.75"
"1300622","0.84375","0.84375","0.84375"
"1310601","0.78125","0.78125","0.78125"
"1310602","0.84375","0.84375","0.84375"
"1310603","0.6875","0.6875","0.6875"
"1310608","0.71875","0.71875","0.71875"
"1310619","0.71875","0.71875","0.71875"
"1320600","0.8125","0.8125","0.8125"
"1320608","0.5625","0.5625","0.5625"
"1320609","0.59375","0.59375","0.59375"
"1320615","0.875","0.875","0.875"
"1320622","0.71875","0.71875","0.71875"
"1330600","0.65625","0.65625","0.65625"
"1330607","0.75","0.75","0.75"
"1330609","0.65625","0.65625","0.65625"
"1330622","0.59375","0.5625","0.625"
"1340600","0.65625","0.65625","0.65625"
"1340615","0.6875","0.6875","0.6875"
"1340616","0.6875","0.6875","0.6875"
"1340619","0.640625","0.625","0.65625"
"1350608","0.84375","0.84375","0.84375"
"1350611","0.71875","0.71875","0.71875"
"1350613","0.75","0.75","0.75"
"1350619","0.78125","0.78125","0.78125"
"1350620","0.90625","0.90625","0.90625"
"1360601","0.6875","0.6875","0.6875"
"1360610","0.6875","0.6875","0.6875"
"1360612","0.59375","0.59375","0.59375"
"1360613","0.6875","0.6875","0.6875"
"1360621","0.65625","0.65625","0.65625"
"1370606","0.78125","0.78125","0.78125"
"1370607","0.78125","0.78125","0.78125"
"1370609","0.84375","0.84375","0.84375"
"1370613","0.6875","0.6875","0.6875"
"1370616","0.5","0.5","0.5"
"1380603","0.65625","0.625","0.6875"
"1380605","0.625","0.625","0.625"
"1380614","0.8125","0.8125","0.8125"
"1380622","0.65625","0.65625","0.65625"
"1390605","0.71875","0.71875","0.71875"
"1390609","0.65625","0.65625","0.65625"
"1390615","0.65625","0.65625","0.65625"
"1390620","0.75","0.75","0.75"
"1390625","0.78125","0.78125","0.78125"
"1400605","0.65625","0.65625","0.65625"
"1400610","0.71875","0.71875","0.71875"
"1400612","0.71875","0.71875","0.71875"
"1400617","0.84375","0.84375","0.84375"
"1400618","0.71875","0.71875","0.71875"
"1410610","0.78125","0.78125","0.78125"
"1410620","0.625","0.46875","0.71875"
"1410626","0.71875","0.71875","0.71875"
"1420608","0.78125","0.75","0.8125"
"1420615","0.65625","0.65625","0.65625"
"1420617","0.640625","0.5","0.78125"
"1430611","0.671875","0.5625","0.78125"
"1430617","0.75","0.75","0.75"
"1430618","0.75","0.75","0.75"
"1430619","0.65625","0.65625","0.65625"
"1440604","0.71875","0.71875","0.71875"
"1440608","0.71875","0.6875","0.75"
"1440609","0.6875","0.6875","0.6875"
"1440618","0.65625","0.65625","0.65625"
"1450600","0.71875","0.71875","0.71875"
"1450606","0.59375","0.59375","0.59375"
"1450612","0.65625","0.65625","0.65625"
"1450615","0.6875","0.6875","0.6875"
"1450619","0.8125","0.8125","0.8125"
"1460602","0.6875","0.6875","0.6875"
"1460608","0.71875","0.71875","0.71875"
"1460612","0.5625","0.5625","0.5625"
"1460615","0.65625","0.65625","0.65625"
"1460621","0.84375","0.84375","0.84375"
"1470603","0.71875","0.71875","0.71875"
"1470612","0.6875","0.6875","0.6875"
"1470614","0.75","0.75","0.75"
"1470618","0.71875","0.71875","0.71875"
"1470619","0.6875","0.6875","0.6875"
"1480607","0.78125","0.78125","0.78125"
"1480611","0.8125","0.8125","0.8125"
