"Step","Group: 5m_vs_6m_QMIX - win_rate","Group: 5m_vs_6m_QMIX - win_rate__MIN","Group: 5m_vs_6m_QMIX - win_rate__MAX"
"800006","0.21875","0.21875","0.21875"
"800021","0.03125","0.03125","0.03125"
"800024","0.125","0.125","0.125"
"800027","0.28125","0.28125","0.28125"
"800030","0","0","0"
"810001","0.21875","0.21875","0.21875"
"810003","0.09375","0.09375","0.09375"
"810015","0","0","0"
"810021","0.09375","0.09375","0.09375"
"810023","0.03125","0.03125","0.03125"
"810028","0.125","0.125","0.125"
"820004","0.25","0.25","0.25"
"820012","0.03125","0.03125","0.03125"
"820014","0.25","0.25","0.25"
"820016","0.15625","0.15625","0.15625"
"820030","0.25","0.25","0.25"
"820042","0.09375","0.09375","0.09375"
"830007","0.28125","0.28125","0.28125"
"830010","0.21875","0.21875","0.21875"
"830012","0.28125","0.28125","0.28125"
"830020","0.125","0.125","0.125"
"830022","0.0625","0.0625","0.0625"
"830038","0","0","0"
"840001","0.21875","0","0.4375"
"840002","0.0625","0.0625","0.0625"
"840007","0.0625","0.0625","0.0625"
"840012","0.125","0.125","0.125"
"840063","0","0","0"
"850000","0.0625","0.0625","0.0625"
"850007","0.03125","0.03125","0.03125"
"850022","0.09375","0.09375","0.09375"
"850023","0.15625","0.15625","0.15625"
"850043","0","0","0"
"850047","0","0","0"
"860005","0","0","0"
"860007","0.234375","0.1875","0.28125"
"860008","0.0625","0.0625","0.0625"
"860014","0.0625","0.0625","0.0625"
"860027","0.03125","0.03125","0.03125"
"870010","0.03125","0.03125","0.03125"
"870014","0.1875","0.1875","0.1875"
"870017","0.0625","0.0625","0.0625"
"870018","0","0","0"
"870024","0.1875","0.1875","0.1875"
"870049","0.09375","0.09375","0.09375"
"880014","0.09375","0.09375","0.09375"
"880020","0.0625","0.0625","0.0625"
"880021","0.3125","0.3125","0.3125"
"880024","0.1875","0.1875","0.1875"
"880026","0.078125","0","0.15625"
"890002","0.125","0.03125","0.21875"
"890007","0","0","0"
"890016","0.15625","0.15625","0.15625"
"890021","0.0625","0.0625","0.0625"
"890034","0.15625","0.15625","0.15625"
"900006","0.15625","0.15625","0.15625"
"900008","0.125","0.125","0.125"
"900012","0.28125","0.28125","0.28125"
"900022","0.09375","0.09375","0.09375"
"900023","0.125","0.125","0.125"
"900067","0","0","0"
"910001","0.1875","0.1875","0.1875"
"910003","0.125","0.125","0.125"
"910013","0.0625","0.0625","0.0625"
"910020","0.1875","0.1875","0.1875"
"910021","0.1875","0.1875","0.1875"
"910069","0.03125","0.03125","0.03125"
"920004","0.03125","0.03125","0.03125"
"920007","0.46875","0.46875","0.46875"
"920009","0.0625","0.0625","0.0625"
"920024","0.09375","0.09375","0.09375"
"920034","0.03125","0.03125","0.03125"
"920054","0","0","0"
"930002","0.3125","0.3125","0.3125"
"930005","0.09375","0.09375","0.09375"
"930009","0.046875","0.03125","0.0625"
"930019","0","0","0"
"930026","0","0","0"
"940007","0.03125","0.03125","0.03125"
"940021","0.0625","0.03125","0.09375"
"940024","0.125","0.125","0.125"
"940037","0.03125","0.03125","0.03125"
"940042","0.0625","0.0625","0.0625"
"950000","0","0","0"
"950001","0.15625","0.15625","0.15625"
"950005","0.09375","0.09375","0.09375"
"950013","0.21875","0.21875","0.21875"
"950023","0.1875","0.1875","0.1875"
"950032","0.15625","0.15625","0.15625"
"960002","0.03125","0.03125","0.03125"
"960003","0.109375","0.0625","0.15625"
"960006","0.25","0.25","0.25"
"960020","0.0625","0.0625","0.0625"
"960021","0.03125","0.03125","0.03125"
"970002","0.03125","0.03125","0.03125"
"970005","0","0","0"
"970008","0.3125","0.3125","0.3125"
"970010","0","0","0"
"970019","0.1875","0.1875","0.1875"
"970038","0.03125","0.03125","0.03125"
"980007","0.03125","0.03125","0.03125"
"980015","0.125","0.125","0.125"
"980016","0.21875","0.21875","0.21875"
"980019","0.03125","0.03125","0.03125"
"980057","0","0","0"
"980060","0.03125","0.03125","0.03125"
"990003","0.0625","0.0625","0.0625"
"990012","0.15625","0.15625","0.15625"
"990013","0.125","0.0625","0.1875"
"990014","0.15625","0.15625","0.15625"
"990043","0.125","0.125","0.125"
"1000001","0.09375","0.03125","0.15625"
"1000018","0.125","0.125","0.125"
"1000021","0.25","0.25","0.25"
"1000024","0.09375","0.09375","0.09375"
"1000032","0.0625","0.0625","0.0625"
"1010012","0.0625","0.0625","0.0625"
"1010014","0.3125","0.3125","0.3125"
"1010018","0.03125","0.03125","0.03125"
"1010021","0.09375","0.09375","0.09375"
"1010026","0.15625","0.15625","0.15625"
"1010060","0","0","0"
"1020010","0.25","0.25","0.25"
"1020013","0.03125","0.03125","0.03125"
"1020015","0","0","0"
"1020016","0.1875","0.1875","0.1875"
"1020023","0.125","0.125","0.125"
"1020025","0.09375","0.09375","0.09375"
"1030008","0.125","0.125","0.125"
"1030016","0.09375","0.09375","0.09375"
"1030017","0.03125","0.03125","0.03125"
"1030022","0.140625","0.125","0.15625"
"1030046","0","0","0"
"1040005","0.125","0.125","0.125"
"1040022","0.0625","0.0625","0.0625"
"1040024","0.15625","0.15625","0.15625"
"1040031","0.28125","0.28125","0.28125"
"1040044","0","0","0"
"1040057","0.125","0.125","0.125"
"1050000","0.15625","0.15625","0.15625"
"1050025","0.125","0.125","0.125"
"1050026","0.34375","0.34375","0.34375"
"1050029","0.0625","0.0625","0.0625"
"1050033","0.09375","0.09375","0.09375"
"1050049","0.09375","0.09375","0.09375"
"1060011","0.1875","0.0625","0.3125"
"1060022","0.1875","0.1875","0.1875"
"1060029","0","0","0"
"1060036","0.21875","0.21875","0.21875"
"1060060","0.09375","0.09375","0.09375"
"1070003","0.09375","0.09375","0.09375"
"1070021","0.0625","0.0625","0.0625"
"1070023","0.0625","0.0625","0.0625"
"1070035","0.21875","0.21875","0.21875"
"1070058","0.03125","0.03125","0.03125"
"1070068","0","0","0"
"1080003","0","0","0"
"1080009","0.09375","0.09375","0.09375"
"1080015","0.15625","0.15625","0.15625"
"1080020","0","0","0"
"1080022","0.25","0.25","0.25"
"1080028","0.15625","0.15625","0.15625"
"1090011","0.3125","0.3125","0.3125"
"1090013","0.1875","0.1875","0.1875"
"1090016","0.28125","0.28125","0.28125"
"1090044","0","0","0"
"1090050","0.125","0.125","0.125"
"1090057","0.15625","0.15625","0.15625"
"1100002","0","0","0"
"1100004","0.0625","0.0625","0.0625"
"1100008","0","0","0"
"1100019","0.03125","0.03125","0.03125"
"1100024","0.125","0.125","0.125"
"1100030","0.28125","0.28125","0.28125"
"1110002","0.1875","0.1875","0.1875"
"1110004","0.34375","0.34375","0.34375"
"1110007","0.1875","0.1875","0.1875"
"1110015","0.28125","0.28125","0.28125"
"1110037","0","0","0"
"1110063","0.0625","0.0625","0.0625"
"1120001","0.25","0.25","0.25"
"1120002","0","0","0"
"1120003","0.234375","0.09375","0.375"
"1120008","0.3125","0.3125","0.3125"
"1120009","0.125","0.125","0.125"
"1130008","0.375","0.375","0.375"
"1130009","0.03125","0.03125","0.03125"
"1130013","0.125","0.125","0.125"
"1130015","0.1875","0.1875","0.1875"
"1130023","0.09375","0.09375","0.09375"
"1130035","0","0","0"
"1140005","0.03125","0.03125","0.03125"
"1140009","0.15625","0.15625","0.15625"
"1140024","0.21875","0.21875","0.21875"
"1140025","0.03125","0.03125","0.03125"
"1140039","0.09375","0.09375","0.09375"
"1140053","0","0","0"
"1150000","0.125","0.125","0.125"
"1150005","0.28125","0.28125","0.28125"
"1150012","0.25","0.25","0.25"
"1150021","0.0625","0.0625","0.0625"
"1150029","0","0","0"
"1150034","0.03125","0.03125","0.03125"
"1160005","0.1875","0.1875","0.1875"
"1160020","0","0","0"
"1160021","0.15625","0.15625","0.15625"
"1160022","0.3125","0.15625","0.46875"
"1160061","0.09375","0.09375","0.09375"
"1170002","0.4375","0.4375","0.4375"
"1170003","0.0625","0.0625","0.0625"
"1170012","0","0","0"
"1170014","0.3125","0.3125","0.3125"
"1170018","0.0625","0.0625","0.0625"
"1170029","0.03125","0.03125","0.03125"
"1180002","0.34375","0.34375","0.34375"
"1180004","0.0625","0.0625","0.0625"
"1180007","0.4375","0.4375","0.4375"
"1180012","0","0","0"
"1180016","0.09375","0.09375","0.09375"
"1180055","0.09375","0.09375","0.09375"
"1190005","0.1875","0.1875","0.1875"
"1190010","0.046875","0.03125","0.0625"
"1190012","0.3125","0.3125","0.3125"
"1190024","0","0","0"
"1190060","0.21875","0.21875","0.21875"
"1200009","0.40625","0.40625","0.40625"
"1200020","0.21875","0.21875","0.21875"
"1200023","0.0625","0.0625","0.0625"
"1200027","0","0","0"
"1200033","0.0625","0.0625","0.0625"
"1200052","0.15625","0.15625","0.15625"
"1210006","0.125","0.125","0.125"
"1210009","0.125","0.125","0.125"
"1210017","0.34375","0.34375","0.34375"
"1210021","0.09375","0.09375","0.09375"
"1210023","0","0","0"
"1210024","0.25","0.25","0.25"
"1220000","0.21875","0.21875","0.21875"
"1220002","0","0","0"
"1220008","0.15625","0.15625","0.15625"
"1220016","0.375","0.375","0.375"
"1220025","0.125","0.125","0.125"
"1220028","0.15625","0.15625","0.15625"
"1230001","0.34375","0.34375","0.34375"
"1230002","0.125","0.125","0.125"
"1230005","0.3125","0.3125","0.3125"
"1230010","0.21875","0.21875","0.21875"
"1230028","0","0","0"
"1230065","0.1875","0.1875","0.1875"
"1240000","0.28125","0.28125","0.28125"
"1240009","0.109375","0","0.21875"
"1240014","0.15625","0.15625","0.15625"
"1240062","0","0","0"
"1240064","0","0","0"
"1250002","0.46875","0.46875","0.46875"
"1250015","0.03125","0.03125","0.03125"
"1250016","0.1875","0.1875","0.1875"
"1250045","0","0","0"
"1250052","0.0625","0.0625","0.0625"
"1250069","0.03125","0.03125","0.03125"
"1260003","0.375","0.375","0.375"
"1260017","0.28125","0.28125","0.28125"
"1260019","0.125","0.125","0.125"
"1260029","0.0625","0.0625","0.0625"
"1260030","0.0625","0.0625","0.0625"
"1260068","0","0","0"
"1270001","0.15625","0.15625","0.15625"
"1270007","0.46875","0.46875","0.46875"
"1270010","0.21875","0.21875","0.21875"
"1270013","0","0","0"
"1270053","0.0625","0.0625","0.0625"
"1270055","0","0","0"
"1280003","0.109375","0.09375","0.125"
"1280010","0.03125","0.03125","0.03125"
"1280013","0.46875","0.46875","0.46875"
"1280022","0.03125","0.03125","0.03125"
"1280069","0","0","0"
"1290009","0.09375","0.09375","0.09375"
"1290019","0","0","0"
"1290020","0.03125","0.03125","0.03125"
"1290025","0.34375","0.34375","0.34375"
"1290026","0.0625","0.0625","0.0625"
"1290031","0","0","0"
"1300003","0.09375","0","0.1875"
"1300012","0.21875","0.21875","0.21875"
"1300016","0.5625","0.5625","0.5625"
"1300020","0","0","0"
"1300068","0.15625","0.15625","0.15625"
"1310004","0","0","0"
"1310007","0.09375","0.09375","0.09375"
"1310012","0.09375","0.09375","0.09375"
"1310014","0.09375","0.09375","0.09375"
"1310022","0.15625","0.15625","0.15625"
"1310027","0.375","0.375","0.375"
"1320002","0.34375","0.34375","0.34375"
"1320004","0.03125","0.03125","0.03125"
"1320005","0.15625","0.15625","0.15625"
"1320008","0.15625","0.15625","0.15625"
"1320009","0","0","0"
"1320060","0","0","0"
"1330001","0.21875","0.21875","0.21875"
"1330006","0","0","0"
"1330026","0.0625","0.0625","0.0625"
"1330029","0.125","0.125","0.125"
"1330030","0.5","0.5","0.5"
"1330032","0","0","0"
"1340011","0.03125","0.03125","0.03125"
"1340012","0.21875","0.21875","0.21875"
"1340019","0","0","0"
"1340020","0.125","0.125","0.125"
"1340051","0.015625","0","0.03125"
"1350013","0.15625","0.15625","0.15625"
"1350014","0.09375","0.09375","0.09375"
"1350016","0.15625","0.15625","0.15625"
"1350017","0.3125","0.3125","0.3125"
"1350022","0.34375","0.34375","0.34375"
"1350067","0","0","0"
"1360003","0.1875","0.09375","0.28125"
"1360014","0","0","0"
"1360017","0.15625","0.15625","0.15625"
"1360021","0.28125","0.28125","0.28125"
"1360026","0.1875","0.1875","0.1875"
"1370008","0.125","0.125","0.125"
"1370010","0.03125","0.03125","0.03125"
"1370025","0.59375","0.59375","0.59375"
"1370031","0.1875","0.1875","0.1875"
"1370055","0.25","0.25","0.25"
"1370062","0","0","0"
"1380001","0.125","0.125","0.125"
"1380004","0","0","0"
"1380017","0.09375","0.09375","0.09375"
"1380020","0.4375","0.4375","0.4375"
"1380038","0.03125","0.03125","0.03125"
"1380068","0.0625","0.0625","0.0625"
"1390004","0.03125","0.03125","0.03125"
"1390010","0.0625","0.0625","0.0625"
"1390017","0.28125","0.28125","0.28125"
"1390023","0.25","0.25","0.25"
"1390064","0","0","0"
"1390067","0.09375","0.09375","0.09375"
"1400003","0.09375","0.09375","0.09375"
"1400006","0.0625","0.0625","0.0625"
"1400017","0.15625","0.15625","0.15625"
"1400023","0.40625","0.40625","0.40625"
"1400028","0.1875","0.1875","0.1875"
"1400032","0","0","0"
"1410009","0","0","0"
"1410016","0","0","0"
"1410018","0.0625","0.0625","0.0625"
"1410023","0.03125","0.03125","0.03125"
"1410025","0","0","0"
"1410032","0.40625","0.40625","0.40625"
"1420008","0.0625","0.0625","0.0625"
"1420022","0.1875","0.09375","0.28125"
"1420026","0","0","0"
"1420033","0.09375","0.09375","0.09375"
"1420056","0","0","0"
"1430007","0","0","0"
"1430009","0.40625","0.40625","0.40625"
"1430013","0.125","0.125","0.125"
"1430022","0.15625","0.15625","0.15625"
"1430032","0.09375","0.09375","0.09375"
"1430047","0.15625","0.15625","0.15625"
"1440000","0.09375","0.09375","0.09375"
"1440006","0.25","0.25","0.25"
"1440007","0","0","0"
"1440019","0.3125","0.3125","0.3125"
"1440023","0.34375","0.34375","0.34375"
"1440028","0.125","0.125","0.125"
"1450005","0.21875","0.21875","0.21875"
"1450007","0.03125","0.03125","0.03125"
"1450021","0.375","0.375","0.375"
"1450025","0.078125","0","0.15625"
"1450039","0.1875","0.1875","0.1875"
"1460001","0.3125","0.3125","0.3125"
"1460009","0.59375","0.59375","0.59375"
"1460025","0.09375","0.09375","0.09375"
"1460027","0.125","0.125","0.125"
"1460039","0","0","0"
"1460049","0.125","0.125","0.125"
"1470000","0","0","0"
"1470009","0.25","0.25","0.25"
"1470010","0.1875","0.1875","0.1875"
"1470023","0.15625","0.15625","0.15625"
"1470029","0.375","0.375","0.375"
"1470055","0","0","0"
"1480002","0","0","0"
"1480004","0.34375","0.34375","0.34375"
"1480013","0.53125","0.53125","0.53125"
"1480025","0.25","0.25","0.25"
"1480032","0.09375","0.09375","0.09375"
"1480056","0","0","0"
"1490005","0","0","0"
"1490022","0","0","0"
"1490027","0.265625","0.0625","0.46875"
"1490034","0.0625","0.0625","0.0625"
"1490065","0","0","0"
"1500008","0.21875","0.21875","0.21875"
"1500013","0.0625","0.0625","0.0625"
"1500015","0","0","0"
"1500018","0","0","0"
"1500020","0.1875","0.1875","0.1875"
"1500026","0.15625","0.15625","0.15625"
"1510001","0.1875","0.1875","0.1875"
"1510002","0.21875","0.21875","0.21875"
"1510003","0.09375","0.09375","0.09375"
"1510005","0.0625","0.0625","0.0625"
