"Step","Group: protoss_5_vs_5_ACORM - win_rate","Group: protoss_5_vs_5_ACORM - win_rate__MIN","Group: protoss_5_vs_5_ACORM - win_rate__MAX"
"1170610","0.40625","0.40625","0.40625"
"1170634","0.453125","0.40625","0.5"
"1170644","0.5625","0.5625","0.5625"
"1170647","0.71875","0.71875","0.71875"
"1170648","0.59375","0.59375","0.59375"
"1180602","0.625","0.625","0.625"
"1180625","0.46875","0.46875","0.46875"
"1180626","0.59375","0.59375","0.59375"
"1180637","0.53125","0.53125","0.53125"
"1180652","0.46875","0.46875","0.46875"
"1180671","0.65625","0.65625","0.65625"
"1190611","0.40625","0.40625","0.40625"
"1190625","0.65625","0.65625","0.65625"
"1190633","0.53125","0.53125","0.53125"
"1190634","0.78125","0.78125","0.78125"
"1190645","0.5625","0.5625","0.5625"
"1190662","0.375","0.375","0.375"
"1200614","0.53125","0.53125","0.53125"
"1200624","0.5","0.5","0.5"
"1200633","0.625","0.625","0.625"
"1200637","0.6875","0.6875","0.6875"
"1200640","0.5625","0.5625","0.5625"
"1200650","0.53125","0.53125","0.53125"
"1210614","0.625","0.625","0.625"
"1210644","0.53125","0.53125","0.53125"
"1210647","0.59375","0.59375","0.59375"
"1210654","0.375","0.375","0.375"
"1210661","0.40625","0.40625","0.40625"
