"Step","Group: protoss_5_vs_5_ACORM_WM - win_rate","Group: protoss_5_vs_5_ACORM_WM - win_rate__MIN","Group: protoss_5_vs_5_ACORM_WM - win_rate__MAX"
"1240613","0.65625","0.65625","0.65625"
"1240652","0.5","0.5","0.5"
"1240656","0.5625","0.5625","0.5625"
"1250603","0.5","0.5","0.5"
"1250606","0.53125","0.53125","0.53125"
"1250624","0.78125","0.78125","0.78125"
"1250647","0.34375","0.34375","0.34375"
"1250649","0.71875","0.71875","0.71875"
"1260605","0.53125","0.53125","0.53125"
"1260613","0.5","0.5","0.5"
"1260621","0.6875","0.6875","0.6875"
"1260645","0.59375","0.59375","0.59375"
"1260656","0.71875","0.71875","0.71875"
"1270601","0.625","0.625","0.625"
"1270613","0.4375","0.4375","0.4375"
"1270624","0.5","0.5","0.5"
"1270648","0.4375","0.28125","0.59375"
"1280604","0.46875","0.46875","0.46875"
"1280645","0.46875","0.46875","0.46875"
"1280647","0.609375","0.5","0.71875"
"1280662","0.46875","0.46875","0.46875"
"1290624","0.5","0.5","0.5"
"1290625","0.5","0.5","0.5"
"1290639","0.5625","0.5625","0.5625"
"1290662","0.625","0.625","0.625"
"1290670","0.53125","0.53125","0.53125"
"1300623","0.5","0.5","0.5"
"1300633","0.65625","0.65625","0.65625"
"1300641","0.34375","0.34375","0.34375"
"1300649","0.5625","0.5625","0.5625"
"1300651","0.75","0.75","0.75"
"1310600","0.4375","0.4375","0.4375"
"1310615","0.75","0.75","0.75"
"1310647","0.71875","0.71875","0.71875"
"1310657","0.5625","0.5625","0.5625"
"1310670","0.625","0.625","0.625"
"1320610","0.59375","0.59375","0.59375"
"1320628","0.5625","0.5625","0.5625"
"1320632","0.625","0.625","0.625"
"1320634","0.65625","0.65625","0.65625"
"1320648","0.65625","0.65625","0.65625"
"1330618","0.625","0.625","0.625"
"1330638","0.5625","0.5625","0.5625"
"1330640","0.5","0.375","0.625"
"1330661","0.5625","0.5625","0.5625"
"1340603","0.59375","0.59375","0.59375"
"1340615","0.375","0.375","0.375"
"1340625","0.6875","0.6875","0.6875"
"1340657","0.59375","0.59375","0.59375"
"1340667","0.4375","0.4375","0.4375"
"1350605","0.625","0.625","0.625"
"1350613","0.5","0.5","0.5"
"1350627","0.625","0.625","0.625"
"1350654","0.6875","0.6875","0.6875"
"1350660","0.65625","0.65625","0.65625"
"1360610","0.6875","0.6875","0.6875"
"1360638","0.625","0.625","0.625"
"1360644","0.578125","0.5625","0.59375"
"1360676","0.53125","0.53125","0.53125"
"1370610","0.59375","0.59375","0.59375"
"1370615","0.53125","0.53125","0.53125"
"1370621","0.46875","0.46875","0.46875"
"1370629","0.59375","0.59375","0.59375"
"1370636","0.71875","0.71875","0.71875"
"1380618","0.65625","0.65625","0.65625"
"1380630","0.59375","0.59375","0.59375"
"1380638","0.5","0.5","0.5"
"1380643","0.5625","0.5625","0.5625"
"1380649","0.59375","0.59375","0.59375"
"1390605","0.5","0.5","0.5"
"1390625","0.71875","0.71875","0.71875"
"1390645","0.59375","0.59375","0.59375"
"1390648","0.71875","0.71875","0.71875"
"1390676","0.4375","0.4375","0.4375"
"1400609","0.65625","0.65625","0.65625"
"1400617","0.640625","0.625","0.65625"
"1400639","0.6875","0.6875","0.6875"
"1400642","0.5625","0.5625","0.5625"
"1410605","0.515625","0.5","0.53125"
"1410609","0.5625","0.5625","0.5625"
"1410620","0.65625","0.65625","0.65625"
"1410647","0.40625","0.40625","0.40625"
"1420633","0.625","0.625","0.625"
"1420636","0.4375","0.4375","0.4375"
"1420643","0.5625","0.5625","0.5625"
"1420645","0.40625","0.40625","0.40625"
"1420665","0.65625","0.65625","0.65625"
"1430622","0.6875","0.6875","0.6875"
"1430645","0.59375","0.59375","0.59375"
"1430652","0.625","0.625","0.625"
"1430653","0.6875","0.6875","0.6875"
"1430700","0.6875","0.6875","0.6875"
"1440603","0.4375","0.4375","0.4375"
"1440604","0.6875","0.6875","0.6875"
"1440611","0.5625","0.5625","0.5625"
"1440616","0.46875","0.46875","0.46875"
"1440658","0.59375","0.59375","0.59375"
"1450609","0.59375","0.59375","0.59375"
"1450630","0.71875","0.71875","0.71875"
