"Step","Group: zerg_5_vs_5_QMIX - win_rate","Group: zerg_5_vs_5_QMIX - win_rate__MIN","Group: zerg_5_vs_5_QMIX - win_rate__MAX"
"1150023","0.09375","0.09375","0.09375"
"1150025","0.34375","0.34375","0.34375"
"1150037","0.21875","0.21875","0.21875"
"1150045","0.15625","0.15625","0.15625"
"1160001","0.1875","0.1875","0.1875"
"1160002","0.1875","0.1875","0.1875"
"1160022","0.15625","0.15625","0.15625"
"1160034","0.125","0.125","0.125"
"1160045","0.15625","0.15625","0.15625"
"1170003","0.21875","0.21875","0.21875"
"1170006","0.21875","0.21875","0.21875"
"1170013","0.21875","0.21875","0.21875"
"1170016","0.1875","0.1875","0.1875"
"1170017","0.21875","0.21875","0.21875"
"1170039","0.21875","0.21875","0.21875"
"1180006","0.1875","0.1875","0.1875"
"1180017","0.09375","0.09375","0.09375"
"1180021","0.125","0.125","0.125"
"1180028","0.125","0.125","0.125"
"1180034","0.21875","0.21875","0.21875"
"1180052","0.125","0.125","0.125"
"1190013","0.25","0.25","0.25"
"1190018","0.28125","0.28125","0.28125"
"1190019","0.21875","0.21875","0.21875"
"1190020","0.171875","0.15625","0.1875"
"1190023","0.15625","0.15625","0.15625"
"1200006","0.09375","0.09375","0.09375"
"1200013","0.203125","0.15625","0.25"
"1200025","0.21875","0.21875","0.21875"
"1200032","0.1875","0.1875","0.1875"
"1200041","0.0625","0.0625","0.0625"
"1210003","0.21875","0.21875","0.21875"
"1210006","0.3125","0.3125","0.3125"
"1210009","0.25","0.25","0.25"
"1210012","0.125","0.125","0.125"
"1210019","0.3125","0.3125","0.3125"
"1210034","0.09375","0.09375","0.09375"
"1220000","0.203125","0.15625","0.25"
"1220005","0.15625","0.15625","0.15625"
"1220017","0.1875","0.1875","0.1875"
"1220026","0.3125","0.3125","0.3125"
"1220043","0.15625","0.15625","0.15625"
"1230001","0.15625","0.15625","0.15625"
"1230004","0.21875","0.21875","0.21875"
"1230012","0.21875","0.21875","0.21875"
"1230018","0.09375","0.09375","0.09375"
"1230019","0.125","0.125","0.125"
"1230024","0.21875","0.21875","0.21875"
"1240002","0.25","0.25","0.25"
"1240011","0.15625","0.15625","0.15625"
"1240013","0.09375","0.09375","0.09375"
"1240020","0.171875","0.125","0.21875"
"1240069","0.28125","0.28125","0.28125"
"1250004","0.34375","0.34375","0.34375"
"1250015","0.15625","0.15625","0.15625"
"1250020","0.15625","0.15625","0.15625"
"1250023","0.21875","0.1875","0.25"
"1250028","0.28125","0.28125","0.28125"
"1260000","0.1875","0.1875","0.1875"
"1260001","0.09375","0.0625","0.125"
