"Step","Group: 6h_vs_8z_ACORM_WM - win_rate","Group: 6h_vs_8z_ACORM_WM - win_rate__MIN","Group: 6h_vs_8z_ACORM_WM - win_rate__MAX","Group: 6h_vs_8z_ACORM_WM_ - win_rate","Group: 6h_vs_8z_ACORM_WM_ - win_rate__MIN","Group: 6h_vs_8z_ACORM_WM_ - win_rate__MAX"
"1200256","0.03125","0.03125","0.03125","","",""
"1200257","0","0","0","","",""
"1210244","0","0","0","","",""
"1210245","","","","0.03125","0.03125","0.03125"
"1210250","0.03125","0.03125","0.03125","","",""
"1210255","0.03125","0.03125","0.03125","","",""
"1210259","0.15625","0.15625","0.15625","","",""
"1220222","0.03125","0","0.0625","","",""
"1220227","0.1875","0.1875","0.1875","","",""
"1220238","0.25","0.25","0.25","","",""
"1220248","","","","0.1875","0.1875","0.1875"
"1230220","","","","0.09375","0.09375","0.09375"
"1230237","0.40625","0.40625","0.40625","","",""
"1230239","0","0","0","","",""
"1230240","0.03125","0.03125","0.03125","","",""
"1230241","0.09375","0.09375","0.09375","","",""
"1240232","0.0625","0.0625","0.0625","","",""
"1240233","","","","0.0625","0.0625","0.0625"
"1240240","0.03125","0.03125","0.03125","","",""
"1240242","0.0625","0.0625","0.0625","","",""
"1240245","0.28125","0.28125","0.28125","","",""
"1250232","0","0","0","","",""
"1250237","","","","0.0625","0.0625","0.0625"
"1250238","0","0","0","","",""
"1250241","0.28125","0.28125","0.28125","","",""
"1250246","0.03125","0.03125","0.03125","","",""
"1260223","0.0625","0.0625","0.0625","","",""
"1260234","","","","0.03125","0.03125","0.03125"
"1260242","0.03125","0.03125","0.03125","","",""
"1260247","0","0","0","","",""
"1260256","0.25","0.25","0.25","","",""
"1270233","0.09375","0.09375","0.09375","","",""
"1270238","","","","0.125","0.125","0.125"
"1270243","0.21875","0.21875","0.21875","","",""
"1270251","0.0625","0.0625","0.0625","","",""
"1270255","0.03125","0.03125","0.03125","","",""
"1280221","0.15625","0.15625","0.15625","","",""
"1280226","","","","0.15625","0.15625","0.15625"
"1280248","0.21875","0.21875","0.21875","","",""
"1280249","0.03125","0.03125","0.03125","","",""
"1280254","0","0","0","","",""
"1290234","0.125","0.125","0.125","","",""
"1290241","0.03125","0.03125","0.03125","","",""
"1290244","0.03125","0.03125","0.03125","","",""
"1290246","0.0625","0.0625","0.0625","","",""
"1290255","","","","0.1875","0.1875","0.1875"
"1300222","","","","0.09375","0.09375","0.09375"
"1300225","0","0","0","","",""
"1300227","0","0","0","","",""
"1300241","0.0625","0.0625","0.0625","","",""
"1300243","0.125","0.125","0.125","","",""
"1310225","0.03125","0.03125","0.03125","","",""
"1310236","0","0","0","","",""
"1310243","","","","0.25","0.25","0.25"
"1310247","0.03125","0.03125","0.03125","","",""
"1310257","0.34375","0.34375","0.34375","","",""
"1320232","","","","0.25","0.25","0.25"
"1320241","0.03125","0.03125","0.03125","","",""
"1320249","0","0","0","","",""
"1320250","0","0","0","","",""
"1320253","0.3125","0.3125","0.3125","","",""
"1330223","0.28125","0.28125","0.28125","","",""
"1330227","0.0625","0.0625","0.0625","","",""
"1330234","","","","0.125","0.125","0.125"
"1330235","0.09375","0.09375","0.09375","","",""
"1330253","0.0625","0.0625","0.0625","","",""
"1340237","0","0","0","","",""
"1340248","0.25","0.25","0.25","0.3125","0.3125","0.3125"
"1340253","0.03125","0.03125","0.03125","","",""
"1340264","0.0625","0.0625","0.0625","","",""
"1350220","0.0625","0.0625","0.0625","","",""
"1350221","0.0625","0.0625","0.0625","","",""
"1350225","0.0625","0.0625","0.0625","","",""
"1350251","0.0625","0.0625","0.0625","","",""
"1350257","","","","0.09375","0.09375","0.09375"
"1360223","0","0","0","","",""
"1360226","","","","0.125","0.125","0.125"
"1360228","0.03125","0.03125","0.03125","","",""
"1360229","0","0","0","","",""
"1360233","0.3125","0.3125","0.3125","","",""
"1370233","0","0","0","","",""
"1370235","0.0625","0.0625","0.0625","","",""
"1370252","0","0","0","0.125","0.125","0.125"
"1370262","0.28125","0.28125","0.28125","","",""
"1380237","","","","0.1875","0.1875","0.1875"
"1380240","0.28125","0.28125","0.28125","","",""
"1380242","0.03125","0.03125","0.03125","","",""
"1380250","0.09375","0.09375","0.09375","","",""
"1380261","0","0","0","","",""
"1390220","0.09375","0.09375","0.09375","","",""
"1390221","0","0","0","","",""
"1390225","0.03125","0.03125","0.03125","","",""
"1390230","","","","0.28125","0.28125","0.28125"
"1390240","0.28125","0.28125","0.28125","","",""
"1400225","0.03125","0.03125","0.03125","0.25","0.25","0.25"
"1400227","0.03125","0.03125","0.03125","","",""
"1400241","0.0625","0.0625","0.0625","","",""
"1400255","0.25","0.25","0.25","","",""
"1410220","0.34375","0.34375","0.34375","","",""
"1410234","0","0","0","","",""
"1410237","","","","0.15625","0.15625","0.15625"
"1410243","0","0","0","","",""
"1410244","0.03125","0.03125","0.03125","","",""
"1420232","0.15625","0.15625","0.15625","","",""
"1420236","0.03125","0.03125","0.03125","","",""
"1420245","0","0","0","","",""
"1420255","0.40625","0.40625","0.40625","","",""
"1420257","","","","0.1875","0.1875","0.1875"
"1430230","0.25","0.25","0.25","","",""
"1430232","0.0625","0.0625","0.0625","","",""
"1430237","","","","0.125","0.125","0.125"
"1430239","0.09375","0.09375","0.09375","","",""
"1430264","0.0625","0.0625","0.0625","","",""
"1440229","0.0625","0.0625","0.0625","","",""
"1440238","0.25","0.25","0.25","","",""
"1440239","","","","0.21875","0.21875","0.21875"
"1440247","0.03125","0.03125","0.03125","","",""
"1440252","0.0625","0.0625","0.0625","","",""
"1450220","0.0625","0.0625","0.0625","","",""
"1450223","","","","0.25","0.25","0.25"
"1450246","0.15625","0.15625","0.15625","","",""
"1450252","0.03125","0.03125","0.03125","","",""
"1450253","0","0","0","","",""
"1460237","","","","0.1875","0.1875","0.1875"
"1460244","0.09375","0.09375","0.09375","","",""
"1460245","0.0625","0.0625","0.0625","","",""
"1460250","0.0625","0.0625","0.0625","","",""
"1460259","0.28125","0.28125","0.28125","","",""
"1470220","0.28125","0.28125","0.28125","","",""
"1470230","0.0625","0.0625","0.0625","0.3125","0.3125","0.3125"
"1470251","0.03125","0.03125","0.03125","","",""
"1480226","","","","0.21875","0.21875","0.21875"
"1480228","0.21875","0.21875","0.21875","","",""
"1480237","0.25","0.25","0.25","","",""
"1480258","0.03125","0.03125","0.03125","","",""
"1480268","0","0","0","","",""
"1490235","0.125","0.125","0.125","","",""
"1490240","0.15625","0.15625","0.15625","","",""
"1490247","0.125","0.125","0.125","","",""
"1490248","","","","0.21875","0.21875","0.21875"
"1490260","0.15625","0.15625","0.15625","","",""
"1500227","0.03125","0.03125","0.03125","","",""
"1500237","0.34375","0.34375","0.34375","","",""
"1500241","","","","0.4375","0.4375","0.4375"
"1500246","0.03125","0.03125","0.03125","","",""
"1500259","0.125","0.125","0.125","","",""
