"Step","Group: 6h_vs_8z_QMIX - win_rate","Group: 6h_vs_8z_QMIX - win_rate__MIN","Group: 6h_vs_8z_QMIX - win_rate__MAX"
"990006","0","0","0"
"990008","0","0","0"
"990012","0","0","0"
"1000000","0","0","0"
"1000001","0","0","0"
"1000006","0","0","0"
"1000007","0","0","0"
"1000017","0","0","0"
"1010005","0","0","0"
"1010006","0","0","0"
"1010008","0","0","0"
"1010019","0","0","0"
"1020002","0","0","0"
"1020003","0","0","0"
"1020012","0","0","0"
"1020013","0","0","0"
"1020022","0","0","0"
"1030007","0","0","0"
"1030009","0","0","0"
"1030018","0","0","0"
"1030024","0","0","0"
"1030027","0","0","0"
"1040003","0","0","0"
"1040014","0","0","0"
"1040015","0","0","0"
"1040017","0","0","0"
"1040021","0","0","0"
"1050001","0","0","0"
"1050003","0","0","0"
"1050004","0","0","0"
"1050009","0","0","0"
"1050012","0","0","0"
"1060000","0","0","0"
"1060015","0","0","0"
"1060017","0","0","0"
"1060018","0","0","0"
"1070012","0","0","0"
"1070014","0","0","0"
"1070017","0","0","0"
"1070018","0","0","0"
"1070026","0","0","0"
"1080001","0","0","0"
"1080006","0","0","0"
"1080007","0","0","0"
"1080009","0","0","0"
"1080012","0","0","0"
"1080015","0","0","0"
"1090001","0","0","0"
"1090005","0","0","0"
"1090014","0.03125","0.03125","0.03125"
"1090016","0","0","0"
"1090017","0","0","0"
"1100005","0","0","0"
"1100007","0","0","0"
"1100012","0","0","0"
"1100022","0","0","0"
"1100025","0","0","0"
"1110000","0","0","0"
"1110001","0","0","0"
"1110002","0","0","0"
"1110017","0","0","0"
"1110018","0","0","0"
"1110020","0","0","0"
"1120005","0","0","0"
"1120014","0","0","0"
"1120016","0","0","0"
"1120020","0","0","0"
"1120021","0","0","0"
"1120025","0","0","0"
"1130001","0","0","0"
"1130009","0","0","0"
"1130010","0","0","0"
"1130017","0","0","0"
"1130019","0","0","0"
"1140000","0","0","0"
"1140010","0","0","0"
"1140016","0","0","0"
"1140019","0","0","0"
"1150000","0","0","0"
"1150001","0","0","0"
"1150003","0","0","0"
"1150005","0","0","0"
"1150018","0","0","0"
"1160002","0","0","0"
"1160004","0","0","0"
"1160005","0","0","0"
"1160008","0","0","0"
"1160023","0","0","0"
"1160028","0","0","0"
"1170003","0","0","0"
"1170005","0","0","0"
"1170007","0","0","0"
"1170008","0","0","0"
"1170018","0","0","0"
"1170019","0","0","0"
"1180001","0","0","0"
"1180004","0","0","0"
"1180005","0","0","0"
"1180008","0","0","0"
"1180019","0","0","0"
"1180021","0","0","0"
"1190003","0","0","0"
"1190006","0","0","0"
"1190017","0","0","0"
"1190021","0","0","0"
"1190026","0","0","0"
"1200007","0","0","0"
"1200008","0","0","0"
"1200021","0","0","0"
"1200024","0","0","0"
"1200027","0","0","0"
"1210000","0","0","0"
"1210003","0","0","0"
"1210004","0","0","0"
"1210010","0","0","0"
"1210016","0","0","0"
"1220008","0","0","0"
"1220013","0","0","0"
"1220014","0","0","0"
"1220018","0","0","0"
"1220020","0","0","0"
"1230008","0","0","0"
"1230009","0","0","0"
"1230011","0","0","0"
"1230013","0","0","0"
"1230016","0","0","0"
"1230017","0","0","0"
"1240000","0","0","0"
"1240006","0","0","0"
"1240007","0","0","0"
"1240014","0","0","0"
"1240020","0","0","0"
"1240031","0","0","0"
"1250002","0","0","0"
"1250005","0","0","0"
"1250006","0","0","0"
"1250010","0","0","0"
"1250023","0","0","0"
"1260006","0","0","0"
"1260007","0","0","0"
"1260010","0","0","0"
"1260016","0","0","0"
"1260021","0","0","0"
"1270002","0","0","0"
"1270018","0","0","0"
"1270026","0","0","0"
"1270027","0","0","0"
"1270030","0","0","0"
"1280004","0","0","0"
"1280014","0","0","0"
"1280015","0","0","0"
"1280019","0","0","0"
"1280022","0","0","0"
"1290000","0","0","0"
"1290007","0","0","0"
"1290008","0","0","0"
"1290011","0","0","0"
"1290022","0","0","0"
"1300000","0","0","0"
"1300001","0","0","0"
"1300016","0","0","0"
"1300017","0","0","0"
"1300021","0","0","0"
"1310005","0","0","0"
"1310007","0","0","0"
"1310017","0","0","0"
"1310018","0","0","0"
"1310022","0","0","0"
"1320000","0","0","0"
"1320009","0","0","0"
"1320012","0","0","0"
"1320014","0","0","0"
"1320021","0","0","0"
"1330005","0","0","0"
"1330006","0","0","0"
"1330010","0","0","0"
"1330016","0","0","0"
"1330020","0","0","0"
"1330023","0","0","0"
"1340000","0","0","0"
"1340003","0","0","0"
"1340013","0","0","0"
"1340017","0","0","0"
"1340023","0","0","0"
"1350011","0","0","0"
"1350015","0","0","0"
"1350018","0","0","0"
"1350022","0","0","0"
"1350026","0","0","0"
"1360007","0","0","0"
"1360011","0","0","0"
"1360014","0","0","0"
"1360017","0","0","0"
"1360018","0","0","0"
"1360025","0","0","0"
"1370000","0","0","0"
"1370003","0","0","0"
"1370005","0","0","0"
"1370011","0","0","0"
"1370012","0","0","0"
"1370021","0","0","0"
"1380005","0","0","0"
"1380007","0","0","0"
"1380010","0","0","0"
"1380019","0","0","0"
"1380022","0","0","0"
"1390015","0","0","0"
"1390016","0","0","0"
"1390018","0","0","0"
"1390021","0","0","0"
"1390024","0","0","0"
"1390029","0","0","0"
"1400001","0","0","0"
"1400005","0","0","0"
"1400009","0","0","0"
"1400012","0","0","0"
"1400019","0","0","0"
"1400022","0","0","0"
"1410000","0","0","0"
"1410004","0","0","0"
"1410009","0","0","0"
"1410022","0","0","0"
"1410024","0","0","0"
"1420000","0","0","0"
"1420003","0","0","0"
"1420004","0","0","0"
"1420011","0","0","0"
"1420019","0","0","0"
"1420022","0","0","0"
"1430000","0","0","0"
"1430005","0","0","0"
"1430007","0","0","0"
"1430018","0","0","0"
"1430022","0","0","0"
"1440001","0","0","0"
"1440008","0","0","0"
"1440010","0","0","0"
"1440016","0","0","0"
"1440021","0","0","0"
"1440022","0","0","0"
"1450011","0","0","0"
"1450013","0","0","0"
"1450014","0","0","0"
"1450021","0","0","0"
"1460007","0","0","0"
"1460008","0","0","0"
"1460009","0","0","0"
"1460011","0","0","0"
"1460015","0","0","0"
"1460018","0","0","0"
"1470003","0","0","0"
"1470005","0","0","0"
"1470006","0","0","0"
"1470008","0","0","0"
"1470012","0","0","0"
"1480000","0","0","0"
"1480001","0","0","0"
"1480010","0","0","0"
"1480013","0","0","0"
"1480019","0","0","0"
"1490007","0","0","0"
"1490012","0","0","0"
"1490013","0","0","0"
"1490014","0","0","0"
"1490020","0","0","0"
"1490021","0","0","0"
"1500003","0","0","0"
"1500007","0","0","0"
"1500010","0","0","0"
"1500018","0","0","0"
"1500019","0","0","0"
"1500026","0","0","0"
"1510005","0","0","0"
"1510009","0","0","0"
"1510018","0","0","0"
"1510020","0","0","0"
"1510024","0","0","0"
"1510028","0","0","0"
"1520001","0","0","0"
"1520007","0","0","0"
"1520012","0","0","0"
"1520015","0","0","0"
"1520018","0","0","0"
"1520022","0","0","0"
"1530004","0","0","0"
"1530009","0","0","0"
"1530016","0","0","0"
"1530020","0","0","0"
"1540001","0","0","0"
"1540015","0","0","0"
"1540016","0","0","0"
"1540023","0","0","0"
"1550003","0","0","0"
"1550004","0","0","0"
"1550008","0","0","0"
"1550015","0","0","0"
"1550016","0","0","0"
"1560002","0","0","0"
"1560010","0","0","0"
"1560020","0","0","0"
"1560024","0","0","0"
"1560025","0","0","0"
"1570002","0","0","0"
"1570005","0","0","0"
"1570006","0","0","0"
"1570009","0","0","0"
"1570011","0","0","0"
"1570026","0","0","0"
"1580000","0","0","0"
"1580001","0","0","0"
"1580003","0","0","0"
"1580011","0","0","0"
"1580022","0","0","0"
"1580023","0","0","0"
"1590010","0","0","0"
"1590015","0","0","0"
"1590017","0","0","0"
"1600003","0","0","0"
"1600017","0","0","0"
"1600018","0","0","0"
"1600020","0","0","0"
"1600021","0","0","0"
"1600030","0","0","0"
"1610003","0","0","0"
"1610004","0","0","0"
"1610005","0","0","0"
"1610024","0","0","0"
"1610026","0","0","0"
"1620003","0","0","0"
"1620008","0","0","0"
"1620009","0","0","0"
"1620017","0","0","0"
"1620020","0","0","0"
"1630005","0","0","0"
"1630012","0","0","0"
"1630013","0","0","0"
"1630016","0","0","0"
"1630028","0","0","0"
"1640008","0","0","0"
"1640010","0","0","0"
