"Step","Group: MMM2_QMIX - win_rate","Group: MMM2_QMIX - win_rate__MIN","Group: MMM2_QMIX - win_rate__MAX"
"970102","0.125","0.125","0.125"
"970126","0.09375","0.09375","0.09375"
"980014","0.28125","0.28125","0.28125"
"980021","0.03125","0.03125","0.03125"
"980031","0.21875","0.21875","0.21875"
"980056","0.0625","0.0625","0.0625"
"980071","0.03125","0.03125","0.03125"
"980075","0.1875","0.1875","0.1875"
"990003","0.09375","0.09375","0.09375"
"990014","0.3125","0.3125","0.3125"
"990025","0.0625","0.0625","0.0625"
"990048","0.4375","0.4375","0.4375"
"990060","0.125","0.125","0.125"
"990076","0.0625","0.0625","0.0625"
"1000002","0.375","0.375","0.375"
"1000013","0.03125","0.03125","0.03125"
"1000097","0.03125","0.03125","0.03125"
"1000101","0.375","0.375","0.375"
"1000118","0.0625","0.0625","0.0625"
"1000163","0.0625","0.0625","0.0625"
"1010003","0.09375","0.09375","0.09375"
"1010004","0.28125","0.28125","0.28125"
"1010013","0.25","0.25","0.25"
"1010031","0.0625","0.0625","0.0625"
"1010058","0.03125","0.03125","0.03125"
"1010088","0.15625","0.15625","0.15625"
"1020016","0.15625","0.15625","0.15625"
"1020028","0.15625","0.15625","0.15625"
"1020060","0.09375","0.09375","0.09375"
"1020131","0.03125","0.03125","0.03125"
"1020144","0.125","0.125","0.125"
"1020165","0.03125","0.03125","0.03125"
"1030011","0.15625","0.15625","0.15625"
"1030030","0.0625","0.0625","0.0625"
"1030042","0.09375","0.09375","0.09375"
"1030075","0.03125","0.03125","0.03125"
"1030076","0.09375","0.09375","0.09375"
"1030116","0.28125","0.28125","0.28125"
"1040012","0.0625","0.0625","0.0625"
"1040014","0.28125","0.28125","0.28125"
"1040021","0.15625","0.15625","0.15625"
"1040034","0","0","0"
"1040038","0.15625","0.15625","0.15625"
"1040053","0.03125","0.03125","0.03125"
"1050000","0.125","0.125","0.125"
"1050004","0.0625","0.0625","0.0625"
"1050005","0.15625","0.15625","0.15625"
"1050022","0.1875","0.1875","0.1875"
"1050048","0","0","0"
"1050155","0.125","0.125","0.125"
"1060009","0.25","0.25","0.25"
"1060011","0.03125","0.03125","0.03125"
"1060035","0.0625","0.0625","0.0625"
"1060043","0.21875","0.21875","0.21875"
"1060051","0.15625","0.15625","0.15625"
"1060138","0.0625","0.0625","0.0625"
"1070007","0.09375","0.09375","0.09375"
"1070014","0.15625","0.15625","0.15625"
"1070043","0.03125","0.03125","0.03125"
"1070046","0.25","0.25","0.25"
"1070061","0.34375","0.34375","0.34375"
"1070102","0.03125","0.03125","0.03125"
"1080000","0.375","0.375","0.375"
"1080019","0.0625","0.0625","0.0625"
"1080031","0.03125","0.03125","0.03125"
"1080038","0","0","0"
"1080099","0.203125","0.125","0.28125"
"1090003","0.40625","0.40625","0.40625"
"1090011","0.03125","0.03125","0.03125"
"1090024","0.03125","0.03125","0.03125"
"1090071","0.25","0.25","0.25"
"1090092","0.0625","0.0625","0.0625"
"1090121","0","0","0"
"1100017","0.4375","0.4375","0.4375"
"1100025","0.15625","0.15625","0.15625"
"1100033","0.03125","0.03125","0.03125"
"1100039","0","0","0"
"1100078","0.34375","0.34375","0.34375"
"1100084","0.09375","0.09375","0.09375"
"1110023","0.0625","0.0625","0.0625"
"1110027","0.4375","0.4375","0.4375"
"1110035","0.09375","0.09375","0.09375"
"1110037","0.09375","0.09375","0.09375"
"1110046","0.46875","0.46875","0.46875"
"1110089","0.0625","0.0625","0.0625"
"1120001","0.03125","0.03125","0.03125"
"1120027","0.0625","0","0.125"
"1120046","0","0","0"
"1120063","0.375","0.375","0.375"
"1120097","0.15625","0.15625","0.15625"
"1130003","0.0625","0.0625","0.0625"
"1130010","0.125","0.125","0.125"
"1130024","0.09375","0.09375","0.09375"
"1130044","0.125","0.125","0.125"
"1130112","0.3125","0.3125","0.3125"
"1130131","0.15625","0.15625","0.15625"
"1140002","0.40625","0.40625","0.40625"
"1140003","0","0","0"
"1140027","0.21875","0.21875","0.21875"
"1140061","0.34375","0.34375","0.34375"
"1140066","0.1875","0.1875","0.1875"
"1140072","0.0625","0.0625","0.0625"
"1150007","0.0625","0.0625","0.0625"
"1150013","0.03125","0.03125","0.03125"
"1150036","0.3125","0.3125","0.3125"
"1150070","0.21875","0.21875","0.21875"
"1150146","0.03125","0.03125","0.03125"
"1150154","0.09375","0.09375","0.09375"
"1160000","0.25","0.25","0.25"
"1160015","0.25","0.25","0.25"
"1160016","0.25","0.25","0.25"
"1160025","0.0625","0.0625","0.0625"
"1160050","0.5","0.5","0.5"
"1160112","0.03125","0.03125","0.03125"
"1170033","0.3125","0.3125","0.3125"
"1170051","0.1875","0.1875","0.1875"
"1170063","0.1875","0.1875","0.1875"
"1170092","0.03125","0.03125","0.03125"
"1170109","0.15625","0.15625","0.15625"
"1170175","0.15625","0.15625","0.15625"
"1180016","0.09375","0.09375","0.09375"
"1180043","0.09375","0.09375","0.09375"
"1180045","0.65625","0.65625","0.65625"
"1180051","0.15625","0.15625","0.15625"
"1180146","0.15625","0.15625","0.15625"
"1180162","0.0625","0.0625","0.0625"
"1190008","0.46875","0.46875","0.46875"
"1190020","0.03125","0.03125","0.03125"
"1190032","0.125","0.125","0.125"
"1190037","0.03125","0.03125","0.03125"
"1190099","0","0","0"
"1190142","0.28125","0.28125","0.28125"
"1200006","0.15625","0.15625","0.15625"
"1200036","0","0","0"
"1200044","0.15625","0.15625","0.15625"
"1200055","0.59375","0.59375","0.59375"
"1200057","0.21875","0.21875","0.21875"
"1200107","0","0","0"
"1210009","0.125","0.125","0.125"
"1210016","0.1875","0.1875","0.1875"
"1210054","0.46875","0.46875","0.46875"
"1210085","0.09375","0.09375","0.09375"
"1210104","0.03125","0.03125","0.03125"
"1210144","0.0625","0.0625","0.0625"
"1220014","0.25","0.25","0.25"
"1220022","0.46875","0.46875","0.46875"
"1220033","0.03125","0.03125","0.03125"
"1220046","0.21875","0.21875","0.21875"
