"Step","Group: MMM2_ACORM - win_rate","Group: MMM2_ACORM - win_rate__MIN","Group: MMM2_ACORM - win_rate__MAX"
"650381","0.59375","0.59375","0.59375"
"660224","0.78125","0.78125","0.78125"
"660251","0.59375","0.59375","0.59375"
"660255","0.65625","0.65625","0.65625"
"660264","0.65625","0.65625","0.65625"
"660314","0.59375","0.59375","0.59375"
"670222","0.375","0.375","0.375"
"670251","0.8125","0.8125","0.8125"
"670258","0.71875","0.71875","0.71875"
"670298","0.65625","0.65625","0.65625"
"670325","0.8125","0.8125","0.8125"
"680228","0.78125","0.78125","0.78125"
"680262","0.6875","0.6875","0.6875"
"680266","0.75","0.75","0.75"
"680288","0.75","0.75","0.75"
"680289","0.71875","0.71875","0.71875"
"690220","0.625","0.625","0.625"
"690246","0.78125","0.78125","0.78125"
"690268","0.65625","0.65625","0.65625"
"690328","0.5625","0.5625","0.5625"
"690399","0.8125","0.8125","0.8125"
"700228","0.65625","0.65625","0.65625"
"700256","0.875","0.875","0.875"
"700257","0.75","0.75","0.75"
"700275","0.875","0.875","0.875"
"700307","0.78125","0.78125","0.78125"
"710224","0.6875","0.6875","0.6875"
"710241","0.671875","0.5625","0.78125"
"710268","0.71875","0.71875","0.71875"
"710399","0.875","0.875","0.875"
"720252","0.78125","0.78125","0.78125"
"720319","0.78125","0.78125","0.78125"
"720361","0.8125","0.8125","0.8125"
"720364","0.875","0.875","0.875"
"720393","0.625","0.625","0.625"
"730242","0.875","0.875","0.875"
"730256","0.6875","0.6875","0.6875"
"730259","0.75","0.75","0.75"
"730269","0.46875","0.46875","0.46875"
"730340","0.625","0.625","0.625"
"740237","0.6875","0.6875","0.6875"
"740241","0.8125","0.8125","0.8125"
"740252","0.71875","0.71875","0.71875"
"740256","0.53125","0.53125","0.53125"
"740271","0.59375","0.59375","0.59375"
"750221","0.78125","0.78125","0.78125"
"750227","0.6875","0.6875","0.6875"
"750273","0.75","0.75","0.75"
"750283","0.84375","0.84375","0.84375"
"750329","0.71875","0.71875","0.71875"
"760251","0.71875","0.71875","0.71875"
"760253","0.625","0.625","0.625"
"760261","0.6875","0.6875","0.6875"
"760264","0.84375","0.84375","0.84375"
"760269","0.28125","0.28125","0.28125"
"770221","0.65625","0.65625","0.65625"
"770226","0.875","0.875","0.875"
"770228","0.75","0.75","0.75"
"770249","0.78125","0.78125","0.78125"
"770268","0.625","0.625","0.625"
"780225","0.78125","0.78125","0.78125"
"780252","0.65625","0.65625","0.65625"
"780255","0.65625","0.65625","0.65625"
"780256","0.75","0.75","0.75"
"780287","0.6875","0.6875","0.6875"
"790222","0.8125","0.8125","0.8125"
"790223","0.59375","0.59375","0.59375"
