"Step","Group: terran_5_vs_5_ACORM_WM - win_rate","Group: terran_5_vs_5_ACORM_WM - win_rate__MIN","Group: terran_5_vs_5_ACORM_WM - win_rate__MAX"
"940636","0.59375","0.59375","0.59375"
"940643","0.625","0.625","0.625"
"950611","0.75","0.75","0.75"
"950638","0.671875","0.53125","0.8125"
"950640","0.625","0.625","0.625"
"950661","0.5625","0.5625","0.5625"
"960609","0.5625","0.5625","0.5625"
"960612","0.625","0.5","0.75"
"960631","0.65625","0.65625","0.65625"
"960639","0.53125","0.53125","0.53125"
"970602","0.5","0.5","0.5"
"970617","0.40625","0.40625","0.40625"
"970643","0.5625","0.5625","0.5625"
"970644","0.65625","0.65625","0.65625"
"970697","0.625","0.625","0.625"
"980609","0.5","0.5","0.5"
"980642","0.46875","0.46875","0.46875"
"980657","0.78125","0.78125","0.78125"
"980659","0.5","0.5","0.5"
"980670","0.75","0.75","0.75"
"990607","0.6875","0.6875","0.6875"
"990619","0.59375","0.59375","0.59375"
"990649","0.5625","0.5625","0.5625"
"990669","0.6875","0.6875","0.6875"
"990674","0.4375","0.4375","0.4375"
"1000621","0.65625","0.65625","0.65625"
"1000645","0.5625","0.5625","0.5625"
"1000656","0.671875","0.46875","0.875"
"1000660","0.5625","0.5625","0.5625"
"1010605","0.65625","0.65625","0.65625"
"1010608","0.71875","0.71875","0.71875"
"1010619","0.71875","0.71875","0.71875"
"1010630","0.59375","0.59375","0.59375"
"1010638","0.53125","0.53125","0.53125"
"1020602","0.59375","0.59375","0.59375"
"1020623","0.59375","0.59375","0.59375"
"1020634","0.59375","0.59375","0.59375"
"1020640","0.53125","0.53125","0.53125"
"1020653","0.65625","0.65625","0.65625"
"1030607","0.59375","0.59375","0.59375"
"1030619","0.65625","0.65625","0.65625"
"1030641","0.5625","0.5625","0.5625"
"1030646","0.5625","0.5625","0.5625"
"1030662","0.53125","0.53125","0.53125"
"1040606","0.71875","0.71875","0.71875"
"1040609","0.65625","0.65625","0.65625"
"1040610","0.71875","0.71875","0.71875"
"1040618","0.6875","0.6875","0.6875"
"1040678","0.71875","0.71875","0.71875"
"1050603","0.6875","0.6875","0.6875"
"1050618","0.65625","0.65625","0.65625"
"1050632","0.53125","0.53125","0.53125"
"1050635","0.71875","0.71875","0.71875"
"1050642","0.71875","0.71875","0.71875"
"1060605","0.625","0.625","0.625"
"1060607","0.40625","0.34375","0.46875"
"1060623","0.75","0.75","0.75"
"1060632","0.59375","0.59375","0.59375"
"1070607","0.59375","0.59375","0.59375"
"1070608","0.375","0.375","0.375"
"1070621","0.6875","0.6875","0.6875"
"1070623","0.5625","0.5625","0.5625"
"1070631","0.65625","0.65625","0.65625"
"1080602","0.5","0.5","0.5"
"1080616","0.65625","0.65625","0.65625"
"1080623","0.65625","0.65625","0.65625"
"1080634","0.59375","0.59375","0.59375"
"1080637","0.5","0.5","0.5"
"1090615","0.5625","0.5625","0.5625"
"1090624","0.59375","0.59375","0.59375"
"1090639","0.59375","0.53125","0.65625"
"1090722","0.75","0.75","0.75"
"1100600","0.53125","0.53125","0.53125"
"1100624","0.53125","0.53125","0.53125"
"1100627","0.75","0.75","0.75"
"1100664","0.34375","0.34375","0.34375"
"1100667","0.8125","0.8125","0.8125"
"1110602","0.59375","0.59375","0.59375"
"1110614","0.5","0.5","0.5"
"1110635","0.53125","0.53125","0.53125"
"1110636","0.71875","0.71875","0.71875"
"1110643","0.71875","0.71875","0.71875"
"1120607","0.71875","0.71875","0.71875"
"1120612","0.625","0.625","0.625"
"1120625","0.625","0.625","0.625"
"1120635","0.625","0.625","0.625"
"1120731","0.71875","0.71875","0.71875"
"1130619","0.46875","0.46875","0.46875"
"1130621","0.5625","0.5625","0.5625"
"1130631","0.40625","0.40625","0.40625"
"1130641","0.59375","0.59375","0.59375"
"1130642","0.59375","0.59375","0.59375"
"1140602","0.65625","0.65625","0.65625"
"1140615","0.625","0.625","0.625"
"1140619","0.75","0.75","0.75"
"1140645","0.65625","0.65625","0.65625"
"1140653","0.75","0.75","0.75"
"1150607","0.5625","0.5625","0.5625"
"1150608","0.59375","0.59375","0.59375"
"1150621","0.5","0.5","0.5"
"1150626","0.6875","0.6875","0.6875"
"1150633","0.6875","0.6875","0.6875"
"1160610","0.53125","0.53125","0.53125"
"1160611","0.65625","0.65625","0.65625"
"1160626","0.59375","0.59375","0.59375"
"1160634","0.5625","0.5625","0.5625"
"1160649","0.65625","0.65625","0.65625"
"1170602","0.5625","0.5625","0.5625"
"1170607","0.5625","0.5625","0.5625"
"1170608","0.71875","0.71875","0.71875"
"1170617","0.6875","0.6875","0.6875"
"1170632","0.65625","0.65625","0.65625"
"1180603","0.46875","0.46875","0.46875"
"1180604","0.46875","0.46875","0.46875"
"1180617","0.59375","0.59375","0.59375"
"1180632","0.59375","0.59375","0.59375"
"1180661","0.78125","0.78125","0.78125"
"1190603","0.59375","0.59375","0.59375"
"1190621","0.625","0.625","0.625"
"1190627","0.5625","0.5625","0.5625"
"1190637","0.59375","0.59375","0.59375"
"1190643","0.625","0.625","0.625"
"1200607","0.75","0.75","0.75"
"1200610","0.65625","0.65625","0.65625"
"1200648","0.5","0.5","0.5"
"1200652","0.65625","0.65625","0.65625"
"1200664","0.59375","0.59375","0.59375"
"1210600","0.46875","0.46875","0.46875"
"1210628","0.609375","0.5625","0.65625"
"1210648","0.4375","0.4375","0.4375"
"1210663","0.625","0.625","0.625"
"1220612","0.5","0.5","0.5"
"1220613","0.71875","0.71875","0.71875"
"1220618","0.6875","0.6875","0.6875"
"1220624","0.59375","0.59375","0.59375"
"1220626","0.625","0.625","0.625"
"1230609","0.6875","0.6875","0.6875"
"1230614","0.5625","0.5625","0.5625"
"1230625","0.625","0.625","0.625"
"1230626","0.4375","0.4375","0.4375"
"1230702","0.65625","0.65625","0.65625"
"1240608","0.59375","0.59375","0.59375"
"1240609","0.5625","0.5625","0.5625"
"1240629","0.625","0.625","0.625"
"1240636","0.65625","0.65625","0.65625"
"1240657","0.46875","0.46875","0.46875"
"1250608","0.5625","0.5625","0.5625"
"1250609","0.625","0.625","0.625"
"1250615","0.71875","0.71875","0.71875"
"1250621","0.6875","0.6875","0.6875"
"1250638","0.625","0.625","0.625"
"1260603","0.625","0.625","0.625"
"1260613","0.5625","0.5625","0.5625"
"1260615","0.65625","0.65625","0.65625"
"1260631","0.53125","0.53125","0.53125"
"1260634","0.65625","0.65625","0.65625"
"1270617","0.6875","0.6875","0.6875"
"1270621","0.625","0.625","0.625"
"1270634","0.5","0.5","0.5"
"1270639","0.6875","0.6875","0.6875"
"1270646","0.59375","0.59375","0.59375"
"1280602","0.625","0.625","0.625"
"1280611","0.75","0.75","0.75"
"1280612","0.5","0.5","0.5"
"1280622","0.625","0.625","0.625"
"1280666","0.59375","0.59375","0.59375"
"1290600","0.6875","0.6875","0.6875"
"1290607","0.6875","0.6875","0.6875"
"1290616","0.53125","0.53125","0.53125"
"1290670","0.625","0.625","0.625"
"1290707","0.65625","0.65625","0.65625"
"1300617","0.875","0.875","0.875"
"1300635","0.5625","0.5625","0.5625"
"1300637","0.625","0.625","0.625"
"1300646","0.8125","0.8125","0.8125"
"1300647","0.625","0.625","0.625"
"1310600","0.625","0.625","0.625"
"1310617","0.6875","0.6875","0.6875"
"1310622","0.75","0.75","0.75"
"1310636","0.625","0.625","0.625"
"1310673","0.5625","0.5625","0.5625"
"1320603","0.65625","0.59375","0.71875"
"1320605","0.65625","0.65625","0.65625"
"1320607","0.625","0.625","0.625"
"1320614","0.5625","0.5625","0.5625"
"1330606","0.6875","0.6875","0.6875"
"1330608","0.53125","0.53125","0.53125"
"1330628","0.5","0.5","0.5"
"1330629","0.625","0.625","0.625"
"1330632","0.53125","0.53125","0.53125"
"1340613","0.59375","0.59375","0.59375"
"1340632","0.46875","0.46875","0.46875"
"1340645","0.65625","0.65625","0.65625"
"1340659","0.625","0.625","0.625"
"1340692","0.625","0.625","0.625"
"1350602","0.53125","0.53125","0.53125"
"1350606","0.625","0.625","0.625"
"1350615","0.5625","0.5625","0.5625"
"1350625","0.65625","0.65625","0.65625"
"1350681","0.53125","0.53125","0.53125"
"1360612","0.5","0.5","0.5"
"1360634","0.625","0.625","0.625"
"1360635","0.46875","0.46875","0.46875"
"1360643","0.65625","0.65625","0.65625"
"1360658","0.59375","0.59375","0.59375"
"1370607","0.625","0.625","0.625"
"1370608","0.5","0.5","0.5"
"1370616","0.5","0.5","0.5"
"1370637","0.65625","0.65625","0.65625"
"1370679","0.71875","0.71875","0.71875"
"1380602","0.75","0.75","0.75"
"1380603","0.625","0.625","0.625"
"1380619","0.5625","0.5625","0.5625"
"1380673","0.546875","0.53125","0.5625"
"1390603","0.59375","0.59375","0.59375"
"1390628","0.59375","0.59375","0.59375"
"1390635","0.6875","0.6875","0.6875"
"1390652","0.46875","0.46875","0.46875"
"1390698","0.65625","0.65625","0.65625"
"1400602","0.578125","0.53125","0.625"
"1400630","0.78125","0.78125","0.78125"
"1400636","0.59375","0.59375","0.59375"
"1400656","0.59375","0.59375","0.59375"
"1410604","0.71875","0.71875","0.71875"
"1410609","0.59375","0.59375","0.59375"
"1410623","0.5625","0.5625","0.5625"
"1410629","0.59375","0.59375","0.59375"
"1410630","0.71875","0.71875","0.71875"
"1420608","0.625","0.625","0.625"
"1420613","0.6875","0.6875","0.6875"
"1420627","0.5625","0.5625","0.5625"
"1420632","0.4375","0.4375","0.4375"
"1420672","0.625","0.625","0.625"
"1430600","0.5625","0.5625","0.5625"
"1430614","0.59375","0.59375","0.59375"
"1430635","0.59375","0.59375","0.59375"
"1430680","0.53125","0.53125","0.53125"
"1430709","0.53125","0.53125","0.53125"
"1440601","0.71875","0.71875","0.71875"
"1440602","0.5","0.5","0.5"
"1440609","0.6875","0.6875","0.6875"
"1440616","0.5625","0.5625","0.5625"
"1440623","0.6875","0.6875","0.6875"
"1450602","0.46875","0.46875","0.46875"
"1450610","0.53125","0.53125","0.53125"
