"Step","Group: 27m_vs_30m_ACORM_WM - win_rate","Group: 27m_vs_30m_ACORM_WM - win_rate__MIN","Group: 27m_vs_30m_ACORM_WM - win_rate__MAX"
"1050765","0.90625","0.90625","0.90625"
"1050775","0.625","0.625","0.625"
"1060240","0.71875","0.71875","0.71875"
"1060770","0.59375","0.59375","0.59375"
"1060774","0.78125","0.78125","0.78125"
"1060875","0.4375","0.4375","0.4375"
"1070262","0.75","0.75","0.75"
"1070751","0.90625","0.90625","0.90625"
"1070763","0.75","0.75","0.75"
"1070777","0.65625","0.65625","0.65625"
"1080227","0.5","0.5","0.5"
"1080756","0.78125","0.78125","0.78125"
"1080762","0.75","0.75","0.75"
"1080792","0.6875","0.6875","0.6875"
"1090244","0.625","0.625","0.625"
"1090760","0.65625","0.65625","0.65625"
"1090768","0.5625","0.5625","0.5625"
"1090785","0.6875","0.6875","0.6875"
"1100249","0.59375","0.59375","0.59375"
"1100753","0.5","0.5","0.5"
"1100782","0.75","0.75","0.75"
"1100788","0.875","0.875","0.875"
"1110250","0.8125","0.8125","0.8125"
"1110757","0.8125","0.8125","0.8125"
"1110761","0.875","0.875","0.875"
"1110779","0.53125","0.53125","0.53125"
"1120223","0.6875","0.6875","0.6875"
"1120758","0.6875","0.6875","0.6875"
"1120760","0.6875","0.6875","0.6875"
"1120788","0.59375","0.59375","0.59375"
"1130237","0.34375","0.34375","0.34375"
"1130751","0.75","0.75","0.75"
"1130771","0.8125","0.8125","0.8125"
"1130779","0.71875","0.71875","0.71875"
"1140227","0.8125","0.8125","0.8125"
"1140760","0.75","0.75","0.75"
"1140768","0.84375","0.84375","0.84375"
"1140787","0.8125","0.8125","0.8125"
"1150232","0.84375","0.84375","0.84375"
"1150754","0.78125","0.78125","0.78125"
"1150757","0.625","0.625","0.625"
"1150760","0.8125","0.8125","0.8125"
"1160378","0.75","0.75","0.75"
"1160771","0.71875","0.71875","0.71875"
"1160781","0.78125","0.78125","0.78125"
"1160782","0.65625","0.65625","0.65625"
"1170238","0.65625","0.65625","0.65625"
"1170759","0.6875","0.6875","0.6875"
"1170760","0.96875","0.96875","0.96875"
"1170761","0.71875","0.71875","0.71875"
"1180255","0.75","0.75","0.75"
"1180751","0.78125","0.78125","0.78125"
"1180766","0.90625","0.90625","0.90625"
"1180859","0.6875","0.6875","0.6875"
"1190232","0.59375","0.59375","0.59375"
"1190768","0.8125","0.8125","0.8125"
"1190775","0.6875","0.6875","0.6875"
"1190777","0.625","0.625","0.625"
"1200233","0.59375","0.59375","0.59375"
"1200759","0.71875","0.71875","0.71875"
"1200767","0.71875","0.71875","0.71875"
"1200777","0.71875","0.71875","0.71875"
"1210229","0.78125","0.78125","0.78125"
"1210751","0.40625","0.40625","0.40625"
"1210756","0.78125","0.78125","0.78125"
"1210774","0.84375","0.84375","0.84375"
"1220334","0.78125","0.78125","0.78125"
"1220781","0.625","0.625","0.625"
"1220782","0.84375","0.84375","0.84375"
"1220868","0.78125","0.78125","0.78125"
"1230342","0.59375","0.59375","0.59375"
"1230759","0.75","0.75","0.75"
"1230774","0.6875","0.6875","0.6875"
"1230846","0.59375","0.59375","0.59375"
"1240252","0.65625","0.65625","0.65625"
"1240754","0.59375","0.59375","0.59375"
"1240763","0.75","0.75","0.75"
"1240836","0.46875","0.46875","0.46875"
"1250241","0.8125","0.8125","0.8125"
"1250752","0.625","0.625","0.625"
"1250777","0.65625","0.65625","0.65625"
"1250782","0.875","0.875","0.875"
"1260244","0.8125","0.8125","0.8125"
"1260752","0.71875","0.71875","0.71875"
"1260782","0.8125","0.8125","0.8125"
"1260816","0.75","0.75","0.75"
"1270223","0.9375","0.9375","0.9375"
"1270762","0.75","0.75","0.75"
"1270832","0.53125","0.53125","0.53125"
"1270841","0.71875","0.71875","0.71875"
"1280385","0.65625","0.65625","0.65625"
"1280753","0.65625","0.65625","0.65625"
"1280771","0.625","0.625","0.625"
"1280784","0.5625","0.5625","0.5625"
"1290223","0.625","0.625","0.625"
"1290755","0.78125","0.78125","0.78125"
"1290757","0.84375","0.84375","0.84375"
"1290775","0.71875","0.71875","0.71875"
"1300246","0.71875","0.71875","0.71875"
"1300750","0.78125","0.78125","0.78125"
"1300753","0.71875","0.71875","0.71875"
"1300876","0.09375","0.09375","0.09375"
"1310332","0.78125","0.78125","0.78125"
"1310754","0.625","0.625","0.625"
"1310782","0.6875","0.6875","0.6875"
"1310791","0.65625","0.65625","0.65625"
"1320233","0.625","0.625","0.625"
"1320753","0.84375","0.84375","0.84375"
"1320757","0.875","0.875","0.875"
"1320777","0.46875","0.46875","0.46875"
"1330232","0.875","0.875","0.875"
"1330759","0.75","0.75","0.75"
"1330760","0.84375","0.84375","0.84375"
"1330769","0.75","0.75","0.75"
"1340250","0.625","0.625","0.625"
"1340757","0.9375","0.9375","0.9375"
"1340777","0.8125","0.8125","0.8125"
"1340890","0.84375","0.84375","0.84375"
"1350254","0.65625","0.65625","0.65625"
"1350768","0.59375","0.59375","0.59375"
"1350770","0.75","0.75","0.75"
"1350783","0.875","0.875","0.875"
"1360249","0.78125","0.78125","0.78125"
"1360777","0.84375","0.84375","0.84375"
"1360780","0.65625","0.65625","0.65625"
"1360786","0.34375","0.34375","0.34375"
"1370231","0.75","0.75","0.75"
"1370754","0.8125","0.8125","0.8125"
"1370780","0.65625","0.65625","0.65625"
"1370781","0.59375","0.59375","0.59375"
"1380233","0.71875","0.71875","0.71875"
"1380768","0.6875","0.6875","0.6875"
"1380781","0.8125","0.8125","0.8125"
"1380802","0.84375","0.84375","0.84375"
"1390233","0.84375","0.84375","0.84375"
"1390764","0.8125","0.8125","0.8125"
"1390776","0.875","0.875","0.875"
"1390784","0.84375","0.84375","0.84375"
"1400224","0.6875","0.6875","0.6875"
"1400750","0.75","0.75","0.75"
"1400758","0.65625","0.65625","0.65625"
"1400776","0.5625","0.5625","0.5625"
"1410284","0.71875","0.71875","0.71875"
"1410758","0.90625","0.90625","0.90625"
"1410760","0.71875","0.71875","0.71875"
"1410787","0.96875","0.96875","0.96875"
"1420244","0.71875","0.71875","0.71875"
"1420756","0.875","0.875","0.875"
"1420765","0.84375","0.84375","0.84375"
"1420785","0.625","0.625","0.625"
"1430247","0.5625","0.5625","0.5625"
"1430761","0.78125","0.78125","0.78125"
"1430780","0.875","0.875","0.875"
"1430791","0.34375","0.34375","0.34375"
"1440236","0.78125","0.78125","0.78125"
"1440764","0.75","0.75","0.75"
"1440779","0.59375","0.59375","0.59375"
"1440780","0.65625","0.65625","0.65625"
"1450234","0.75","0.75","0.75"
"1450754","0.5625","0.5625","0.5625"
"1450771","0.65625","0.65625","0.65625"
"1450774","0.8125","0.8125","0.8125"
"1460224","0.6875","0.6875","0.6875"
"1460758","0.875","0.875","0.875"
"1460771","0.625","0.625","0.625"
"1460783","0.78125","0.78125","0.78125"
"1470259","0.65625","0.65625","0.65625"
"1470763","0.5","0.5","0.5"
"1470770","0.6875","0.6875","0.6875"
"1470776","0.875","0.875","0.875"
"1480251","0.5625","0.5625","0.5625"
"1480750","0.65625","0.65625","0.65625"
"1480776","0.625","0.625","0.625"
"1480777","0.84375","0.84375","0.84375"
"1490252","0.78125","0.78125","0.78125"
"1490755","0.59375","0.59375","0.59375"
"1490781","0.875","0.875","0.875"
"1490855","0.46875","0.46875","0.46875"
"1500248","0.75","0.75","0.75"
"1500759","0.84375","0.84375","0.84375"
"1500775","0.9375","0.9375","0.9375"
"1500779","0.6875","0.6875","0.6875"
"1510240","0.5625","0.5625","0.5625"
"1510761","0.375","0.375","0.375"
"1510774","0.8125","0.8125","0.8125"
"1510797","0.78125","0.78125","0.78125"
"1520224","0.9375","0.9375","0.9375"
"1520768","0.84375","0.84375","0.84375"
"1520787","0.5625","0.5625","0.5625"
"1520788","0.65625","0.65625","0.65625"
"1530226","0.6875","0.6875","0.6875"
"1530763","0.625","0.5","0.75"
"1530778","0.59375","0.59375","0.59375"
"1540225","0.5625","0.5625","0.5625"
"1540752","0.90625","0.90625","0.90625"
"1540757","0.90625","0.90625","0.90625"
"1540787","0.78125","0.78125","0.78125"
"1550358","0.625","0.625","0.625"
"1550752","0.8125","0.8125","0.8125"
"1550759","0.78125","0.78125","0.78125"
"1550902","0.6875","0.6875","0.6875"
"1560225","0.875","0.875","0.875"
