"Step","Group: 27m_vs_30m_QMIX - win_rate","Group: 27m_vs_30m_QMIX - win_rate__MIN","Group: 27m_vs_30m_QMIX - win_rate__MAX"
"870005","0.28125","0.28125","0.28125"
"870009","0.0625","0.0625","0.0625"
"870018","0","0","0"
"870027","0.03125","0.03125","0.03125"
"870092","0.1875","0.1875","0.1875"
"870155","0","0","0"
"880006","0.125","0.125","0.125"
"880015","0","0","0"
"880026","0.125","0.125","0.125"
"880027","0.4375","0.4375","0.4375"
"880051","0","0","0"
"880174","0.09375","0.09375","0.09375"
"890016","0","0","0"
"890018","0.15625","0.15625","0.15625"
"890024","0.0625","0.0625","0.0625"
"890030","0.09375","0.09375","0.09375"
"890110","0","0","0"
"890151","0.03125","0.03125","0.03125"
"900003","0","0","0"
"900014","0.0625","0.0625","0.0625"
"900019","0.03125","0.03125","0.03125"
"900062","0.0625","0.0625","0.0625"
"900111","0","0","0"
"900177","0.0625","0.0625","0.0625"
"910010","0.03125","0.03125","0.03125"
"910018","0.03125","0.03125","0.03125"
"910025","0.125","0.125","0.125"
"910060","0","0","0"
"910074","0.0625","0.0625","0.0625"
"910105","0.03125","0.03125","0.03125"
"920009","0","0","0"
"920010","0.15625","0.15625","0.15625"
"920031","0.0625","0.0625","0.0625"
"920053","0.03125","0.03125","0.03125"
"920071","0.125","0.125","0.125"
"920178","0","0","0"
"930000","0.46875","0.46875","0.46875"
"930003","0","0","0"
"930014","0","0","0"
"930024","0.125","0.125","0.125"
"930170","0.15625","0.15625","0.15625"
"930172","0","0","0"
"940001","0.0625","0.0625","0.0625"
"940002","0.09375","0.09375","0.09375"
"940017","0","0","0"
"940027","0.0625","0.0625","0.0625"
"940040","0.1875","0.1875","0.1875"
"940166","0","0","0"
"950000","0","0","0"
"950005","0.28125","0.28125","0.28125"
"950009","0.0625","0.0625","0.0625"
"950014","0","0","0"
"950031","0.28125","0.28125","0.28125"
"950087","0","0","0"
"960001","0.15625","0.15625","0.15625"
"960018","0","0","0"
"960019","0","0","0"
"960027","0.0625","0.0625","0.0625"
"960092","0","0","0"
"960149","0","0","0"
"970004","0","0","0"
"970013","0.03125","0.03125","0.03125"
"970027","0.15625","0.09375","0.21875"
"970150","0.03125","0.03125","0.03125"
"970155","0","0","0"
"980000","0.21875","0.21875","0.21875"
"980006","0","0","0"
"980020","0","0","0"
"980032","0.09375","0.09375","0.09375"
"980039","0.09375","0.09375","0.09375"
"980144","0","0","0"
"990008","0.34375","0.34375","0.34375"
"990015","0.03125","0.03125","0.03125"
"990021","0.1875","0.1875","0.1875"
"990023","0.03125","0.03125","0.03125"
"990034","0.125","0.125","0.125"
"990055","0.03125","0.03125","0.03125"
"1000022","0.1875","0.1875","0.1875"
"1000025","0","0","0"
"1000026","0.1875","0.1875","0.1875"
"1000031","0.28125","0.28125","0.28125"
"1000110","0.03125","0.03125","0.03125"
"1000168","0","0","0"
"1010003","0","0","0"
"1010008","0.03125","0.03125","0.03125"
"1010010","0.40625","0.40625","0.40625"
"1010018","0","0","0"
"1010029","0","0","0"
"1010117","0.03125","0.03125","0.03125"
"1020019","0.03125","0.03125","0.03125"
"1020020","0","0","0"
"1020023","0.15625","0.15625","0.15625"
"1020030","0","0","0"
"1020065","0.4375","0.4375","0.4375"
"1020160","0.21875","0.21875","0.21875"
"1030005","0.0625","0.0625","0.0625"
"1030012","0","0","0"
"1030022","0.09375","0.09375","0.09375"
"1030025","0.0625","0.0625","0.0625"
"1030094","0.09375","0.09375","0.09375"
"1030121","0.03125","0.03125","0.03125"
"1040005","0.0625","0.0625","0.0625"
"1040007","0.0625","0.0625","0.0625"
"1040028","0.0625","0.0625","0.0625"
"1040033","0.03125","0.03125","0.03125"
"1040054","0.0625","0.0625","0.0625"
"1040158","0","0","0"
"1050017","0.125","0.125","0.125"
"1050022","0.09375","0.09375","0.09375"
"1050028","0","0","0"
"1050029","0.0625","0.0625","0.0625"
"1050030","0.03125","0.03125","0.03125"
"1050035","0.09375","0.09375","0.09375"
"1060001","0","0","0"
"1060021","0","0","0"
"1060049","0","0","0"
"1060059","0","0","0"
"1060138","0.125","0","0.25"
"1070012","0.140625","0.0625","0.21875"
"1070056","0.03125","0.03125","0.03125"
"1070125","0.125","0.125","0.125"
"1070138","0","0","0"
"1070154","0","0","0"
"1080009","0.1875","0.1875","0.1875"
"1080018","0.03125","0.03125","0.03125"
"1080021","0.0625","0.0625","0.0625"
"1080037","0.03125","0.03125","0.03125"
"1080067","0","0","0"
"1080140","0","0","0"
"1090002","0.0625","0.0625","0.0625"
"1090009","0.125","0.125","0.125"
"1090015","0.21875","0.21875","0.21875"
"1090019","0.03125","0.03125","0.03125"
"1090109","0.0625","0.0625","0.0625"
"1090153","0","0","0"
"1100005","0.03125","0.03125","0.03125"
"1100012","0","0","0"
"1100024","0.40625","0.40625","0.40625"
"1100026","0.09375","0.09375","0.09375"
"1100039","0.15625","0.15625","0.15625"
"1100074","0.03125","0.03125","0.03125"
"1110009","0","0","0"
"1110018","0.03125","0.03125","0.03125"
"1110030","0.0625","0.0625","0.0625"
"1110038","0.0625","0.0625","0.0625"
"1110042","0.0625","0.0625","0.0625"
"1110123","0.0625","0.0625","0.0625"
"1120018","0.0625","0.0625","0.0625"
"1120019","0.03125","0.03125","0.03125"
"1120036","0","0","0"
"1120042","0.03125","0.03125","0.03125"
"1120071","0.1875","0.1875","0.1875"
"1120104","0.0625","0.0625","0.0625"
"1130001","0.1875","0.1875","0.1875"
"1130004","0.03125","0.03125","0.03125"
"1130005","0","0","0"
"1130070","0","0","0"
"1130125","0.28125","0.28125","0.28125"
"1130133","0.0625","0.0625","0.0625"
"1140003","0.03125","0.03125","0.03125"
"1140004","0.125","0.125","0.125"
"1140008","0.03125","0.03125","0.03125"
"1140016","0.0625","0.0625","0.0625"
"1140021","0.15625","0.03125","0.28125"
"1150009","0.09375","0.09375","0.09375"
"1150010","0","0","0"
"1150018","0.53125","0.53125","0.53125"
"1150021","0.125","0.125","0.125"
"1150025","0.03125","0.03125","0.03125"
"1150058","0.125","0.125","0.125"
"1160000","0.03125","0.03125","0.03125"
"1160017","0.28125","0.28125","0.28125"
"1160018","0.015625","0","0.03125"
"1160021","0","0","0"
"1160028","0.375","0.375","0.375"
"1170001","0","0","0"
"1170011","0","0","0"
"1170013","0.0625","0.0625","0.0625"
"1170019","0.125","0.125","0.125"
"1170028","0","0","0"
"1170042","0.125","0.125","0.125"
"1180036","0.21875","0.21875","0.21875"
"1180044","0.25","0.25","0.25"
"1180093","0.09375","0.09375","0.09375"
"1180104","0.09375","0.09375","0.09375"
"1180106","0","0","0"
"1180112","0.03125","0.03125","0.03125"
"1190006","0.03125","0.03125","0.03125"
"1190007","0.0625","0.0625","0.0625"
"1190026","0.03125","0.03125","0.03125"
"1190031","0.25","0.25","0.25"
"1190086","0","0","0"
"1190104","0.03125","0.03125","0.03125"
"1200007","0.40625","0.40625","0.40625"
"1200008","0","0","0"
"1200015","0.0625","0.0625","0.0625"
"1200034","0.15625","0.15625","0.15625"
"1200049","0.15625","0.15625","0.15625"
"1200164","0","0","0"
"1210014","0.0625","0.0625","0.0625"
"1210022","0.1875","0.1875","0.1875"
"1210025","0.28125","0.28125","0.28125"
"1210035","0.03125","0.03125","0.03125"
"1210097","0.0625","0.0625","0.0625"
"1210170","0.09375","0.09375","0.09375"
"1220007","0.09375","0.09375","0.09375"
"1220017","0.03125","0.03125","0.03125"
"1220029","0.09375","0.09375","0.09375"
"1220030","0.09375","0.09375","0.09375"
"1220034","0.03125","0.03125","0.03125"
"1220179","0.09375","0.09375","0.09375"
"1230000","0.03125","0.03125","0.03125"
"1230008","0.21875","0.21875","0.21875"
"1230029","0.125","0.125","0.125"
"1230097","0.09375","0.09375","0.09375"
"1230149","0.03125","0.03125","0.03125"
"1230179","0.25","0.25","0.25"
"1240010","0","0","0"
"1240011","0.09375","0.09375","0.09375"
"1240020","0.125","0.125","0.125"
"1240026","0.0625","0.0625","0.0625"
"1240152","0.1875","0.1875","0.1875"
"1240171","0.03125","0.03125","0.03125"
"1250015","0.09375","0.09375","0.09375"
"1250024","0.03125","0.03125","0.03125"
"1250027","0.09375","0.09375","0.09375"
"1250033","0.03125","0.03125","0.03125"
"1250107","0.25","0.25","0.25"
"1250166","0.09375","0.09375","0.09375"
"1260000","0.03125","0.03125","0.03125"
"1260004","0.03125","0.03125","0.03125"
"1260005","0.1875","0.1875","0.1875"
"1260014","0","0","0"
"1260016","0.125","0.125","0.125"
"1260046","0.25","0.25","0.25"
"1270031","0.21875","0.21875","0.21875"
"1270032","0.03125","0.03125","0.03125"
"1270040","0.09375","0.09375","0.09375"
"1270072","0.09375","0.09375","0.09375"
"1270081","0.125","0.125","0.125"
"1270126","0.03125","0.03125","0.03125"
"1280013","0.03125","0.03125","0.03125"
"1280016","0.03125","0.03125","0.03125"
"1280019","0.1875","0.1875","0.1875"
"1280024","0.0625","0.0625","0.0625"
"1280041","0.0625","0.0625","0.0625"
"1280095","0.03125","0.03125","0.03125"
"1290001","0.125","0.125","0.125"
"1290025","0.0625","0.0625","0.0625"
"1290026","0","0","0"
"1290065","0.1875","0.1875","0.1875"
"1290107","0.25","0.25","0.25"
"1290155","0.3125","0.3125","0.3125"
"1300003","0.1875","0.1875","0.1875"
"1300014","0.25","0.25","0.25"
"1300015","0.1875","0.1875","0.1875"
"1300089","0.09375","0.09375","0.09375"
"1300148","0.125","0.125","0.125"
"1300169","0.0625","0.0625","0.0625"
"1310008","0.15625","0.15625","0.15625"
"1310010","0.09375","0.09375","0.09375"
"1310025","0.03125","0.03125","0.03125"
"1310026","0.15625","0.15625","0.15625"
"1310045","0","0","0"
"1310075","0.1875","0.1875","0.1875"
"1320000","0.0625","0.0625","0.0625"
"1320001","0.03125","0.03125","0.03125"
"1320027","0.5","0.5","0.5"
"1320037","0.0625","0.0625","0.0625"
"1320131","0.21875","0.21875","0.21875"
"1320153","0","0","0"
"1330003","0","0","0"
"1330008","0.28125","0.28125","0.28125"
"1330042","0.03125","0.03125","0.03125"
"1330070","0.09375","0.09375","0.09375"
"1330084","0.09375","0.09375","0.09375"
"1330159","0.03125","0.03125","0.03125"
"1340003","0.03125","0.03125","0.03125"
"1340010","0.25","0.25","0.25"
"1340014","0.09375","0.09375","0.09375"
"1340024","0.03125","0.03125","0.03125"
"1340031","0","0","0"
"1340138","0.09375","0.09375","0.09375"
"1350017","0.09375","0.09375","0.09375"
"1350018","0","0","0"
"1350044","0.03125","0.03125","0.03125"
"1350066","0.25","0.25","0.25"
"1350126","0.21875","0.21875","0.21875"
"1350157","0.21875","0.21875","0.21875"
"1360007","0.09375","0.09375","0.09375"
"1360011","0.09375","0.09375","0.09375"
"1360014","0.28125","0.28125","0.28125"
"1360075","0.28125","0.28125","0.28125"
"1360125","0.3125","0.3125","0.3125"
"1360172","0","0","0"
"1370004","0","0","0"
"1370007","0.1875","0.1875","0.1875"
"1370014","0.125","0.125","0.125"
"1370016","0.125","0.125","0.125"
"1370023","0.28125","0.28125","0.28125"
"1370104","0.03125","0.03125","0.03125"
"1380022","0.1875","0.1875","0.1875"
"1380031","0.15625","0.15625","0.15625"
"1380032","0.03125","0.03125","0.03125"
"1380033","0.125","0.125","0.125"
"1380147","0.0625","0.0625","0.0625"
"1380150","0.09375","0.09375","0.09375"
"1390000","0.1875","0.1875","0.1875"
"1390020","0.15625","0.15625","0.15625"
"1390025","0","0","0"
"1390026","0.15625","0.15625","0.15625"
"1390045","0.15625","0.15625","0.15625"
"1390172","0.0625","0.0625","0.0625"
"1400006","0.03125","0.03125","0.03125"
"1400025","0","0","0"
"1400029","0.25","0.25","0.25"
"1400091","0.21875","0.21875","0.21875"
"1400098","0.03125","0.03125","0.03125"
"1400140","0.09375","0.09375","0.09375"
"1410014","0","0","0"
"1410024","0.25","0.25","0.25"
"1410109","0.28125","0.28125","0.28125"
"1410121","0.03125","0.03125","0.03125"
"1410149","0.375","0.375","0.375"
"1410150","0","0","0"
"1420012","0.0625","0.0625","0.0625"
"1420036","0.1875","0.1875","0.1875"
"1420046","0.125","0.125","0.125"
"1420129","0.1875","0.1875","0.1875"
"1420162","0.0625","0.0625","0.0625"
"1420177","0.03125","0.03125","0.03125"
"1430002","0.03125","0.03125","0.03125"
"1430026","0.0625","0.0625","0.0625"
"1430032","0","0","0"
"1430036","0","0","0"
"1430120","0.34375","0.34375","0.34375"
"1430133","0.25","0.25","0.25"
"1440002","0.03125","0.03125","0.03125"
"1440003","0.0625","0.0625","0.0625"
"1440010","0.0625","0.0625","0.0625"
"1440032","0","0","0"
"1440082","0.03125","0.03125","0.03125"
"1440084","0.03125","0.03125","0.03125"
"1450016","0.03125","0.03125","0.03125"
"1450017","0.09375","0.09375","0.09375"
"1450031","0.125","0.125","0.125"
"1450101","0.03125","0.03125","0.03125"
"1450115","0.03125","0.03125","0.03125"
"1450158","0","0","0"
"1460009","0.40625","0.40625","0.40625"
"1460019","0.15625","0.15625","0.15625"
"1460032","0.09375","0.09375","0.09375"
"1460035","0.0625","0.0625","0.0625"
"1460130","0.3125","0.3125","0.3125"
"1460144","0.03125","0.03125","0.03125"
"1470014","0.15625","0.15625","0.15625"
"1470034","0.46875","0.46875","0.46875"
"1470057","0.0625","0.0625","0.0625"
