"Step","Group: 27m_vs_30m_ACORM - win_rate","Group: 27m_vs_30m_ACORM - win_rate__MIN","Group: 27m_vs_30m_ACORM - win_rate__MAX"
"1390640","0.75","0.75","0.75"
"1400601","0.84375","0.84375","0.84375"
"1400611","0.5625","0.5625","0.5625"
"1400616","0.625","0.625","0.625"
"1400721","0.78125","0.78125","0.78125"
"1410603","0.75","0.75","0.75"
"1410615","0.8125","0.8125","0.8125"
"1410620","0.6875","0.6875","0.6875"
"1410624","0.625","0.625","0.625"
"1420600","0.65625","0.65625","0.65625"
"1420609","0.53125","0.53125","0.53125"
"1420630","0.71875","0.71875","0.71875"
"1420706","0.375","0.375","0.375"
"1430605","0.90625","0.90625","0.90625"
"1430621","0.8125","0.8125","0.8125"
"1430624","0.75","0.75","0.75"
"1430632","0.59375","0.59375","0.59375"
"1440602","0.4375","0.4375","0.4375"
"1440610","0.9375","0.9375","0.9375"
"1440627","0.875","0.875","0.875"
"1440629","0.75","0.75","0.75"
"1450604","0.78125","0.78125","0.78125"
"1450624","0.9375","0.9375","0.9375"
"1450764","0.609375","0.53125","0.6875"
"1460607","0.8125","0.8125","0.8125"
"1460624","0.75","0.75","0.75"
"1460637","0.78125","0.78125","0.78125"
"1460699","0.6875","0.6875","0.6875"
"1470605","0.71875","0.71875","0.71875"
"1470620","0.5","0.5","0.5"
"1470627","0.84375","0.84375","0.84375"
"1470671","0.875","0.875","0.875"
"1480615","0.6875","0.6875","0.6875"
"1480625","0.875","0.875","0.875"
"1480628","0.53125","0.53125","0.53125"
"1480632","0.8125","0.8125","0.8125"
"1490604","0.5625","0.5625","0.5625"
"1490610","0.84375","0.84375","0.84375"
"1490613","0.78125","0.78125","0.78125"
"1490622","0.59375","0.59375","0.59375"
"1500610","0.6875","0.6875","0.6875"
"1500611","0.84375","0.84375","0.84375"
"1500626","0.59375","0.59375","0.59375"
"1500724","0.28125","0.28125","0.28125"
"1510607","0.75","0.75","0.75"
"1510621","0.53125","0.53125","0.53125"
"1510626","0.8125","0.8125","0.8125"
"1510637","0.46875","0.46875","0.46875"
"1520620","0.71875","0.71875","0.71875"
"1520622","0.5625","0.5625","0.5625"
"1520625","0.6875","0.6875","0.6875"
"1520662","0.59375","0.59375","0.59375"
"1530616","0.8125","0.8125","0.8125"
"1530620","0.703125","0.6875","0.71875"
"1530635","0.625","0.625","0.625"
"1540613","0.8125","0.8125","0.8125"
"1540623","0.8125","0.8125","0.8125"
"1540716","0.8125","0.8125","0.8125"
"1540736","0.8125","0.8125","0.8125"
"1550621","0.75","0.75","0.75"
"1550628","0.75","0.75","0.75"
"1550631","0.8125","0.8125","0.8125"
"1550636","0.71875","0.71875","0.71875"
"1560608","0.375","0.375","0.375"
"1560623","0.875","0.875","0.875"
"1560624","0.71875","0.71875","0.71875"
"1560638","0.625","0.625","0.625"
"1570603","0.8125","0.8125","0.8125"
"1570620","0.875","0.875","0.875"
"1570632","0.8125","0.8125","0.8125"
"1570634","0.59375","0.59375","0.59375"
"1580604","0.78125","0.78125","0.78125"
"1580616","0.6875","0.6875","0.6875"
"1580617","0.71875","0.71875","0.71875"
"1580772","0.625","0.625","0.625"
"1590624","0.875","0.875","0.875"
"1590625","0.90625","0.90625","0.90625"
"1590630","0.6875","0.6875","0.6875"
"1590713","0.90625","0.90625","0.90625"
"1600610","0.6875","0.6875","0.6875"
"1600630","0.75","0.75","0.75"
"1600635","0.875","0.875","0.875"
"1600666","0.78125","0.78125","0.78125"
"1610604","0.8125","0.8125","0.8125"
"1610616","0.75","0.75","0.75"
"1610640","0.78125","0.78125","0.78125"
"1610645","0.75","0.75","0.75"
"1620608","0.75","0.75","0.75"
"1620612","0.875","0.875","0.875"
"1620616","0.8125","0.8125","0.8125"
"1620732","0.84375","0.84375","0.84375"
"1630602","0.75","0.75","0.75"
"1630619","0.75","0.75","0.75"
"1630630","0.78125","0.78125","0.78125"
"1630639","0.75","0.75","0.75"
"1640615","0.6875","0.6875","0.6875"
"1640616","0.71875","0.71875","0.71875"
"1640624","0.78125","0.78125","0.78125"
"1640656","0.65625","0.65625","0.65625"
"1650607","0.65625","0.65625","0.65625"
"1650609","0.78125","0.78125","0.78125"
